year,japanese,english,publisher,image,product_type,product_code
1990,プレイヤーズハンドブック,Player's Handbook,Shinwa,,rulebook,
1990,ダンジョンマスターズガイド,Dungeon Master's Guide,Shinwa,,rulebook,
1991,モンスターコンペンディウムⅠ ,Monstrous Compendium Volume 1,Shinwa,,supplement,MC1
1990,ダンジョンマスターズスクリーン,Dungeon Master's Screen,Shinwa,,supplement,REF1
1990,キャラクターレコードシート,Character Record Sheets,Shinwa,,supplement,REF2
1990,ペルカードⅠ,Spell Cards I,Shinwa,,supplement,RFJ1
1990,ペルカードⅡ ,Spell Cards II,Shinwa,,supplement,RFJ2
1990,スペルカードⅢ,Spell Cards III,Shinwa,,supplement,RFJ3
1990,スペルカードⅣ,Spell Cards IV,Shinwa,,supplement,RFJ4
1991,スペルカードⅤ,Spell Cards V,Shinwa,,supplement,RFJ5
1991,スペルカードⅥ,Spell Cards VI,Shinwa,,supplement,RFJ6
1991,キャンペーンガイド ,Campaign Guide,Shinwa,,supplement,DMGR1
1991,ファイターハンドブック,The Complete Fighter's Handbook,Shinwa,,supplement,PHBR1
