year,japanese,english,publisher,image,product_type
1990,私立赤霧学園,Private Akagirik Gakuen,Ohzora Publishing,private_akagiri_gakuen.jpg,rulebook
1990,こちら榊心霊相談室,This is the Sakaki Spirit Counseling Room,Ohzora Publishing,sakaki_spirit_counseling_room.jpg,rulebook
1990,光と闇のレジェンド黄昏の町エプリエル,"Legend of Light and Darkness: Epriel, the Town of Twilight",Ohzora Publishing,epriel_town_of_twilight.jpg,rulebook
1990,光と闇のレジェンド〈2〉光の町フェリル,"Legend of Light and Darkness 2: Ferril, Town of Light",Ohzora Publishing,ferrill_town_of_light.jpg,rulebook
1990,タイムスライダーΛ,Time Slider Λ,Ohzora Publishing,time_slider_lambda.jpg,rulebook
1991,光と闇のレジェンドIII 闇の街 ディモス ,Legend of Light and Darkness III: Dark City Dimos,Ohzora Publishing,dark_city_dimos.jpg,rulebook
1991,おねがい！ご先祖さま 予言者たちの神殿,Please! Temple of the Prophets of Ancestors,Ohzora Publishing,temple_of_ancestors.jpg,rulebook
1992,光と闇のレジェンドIV 遺跡の街 ファラム,Legend of Light and Darkness IV: Archaeological City Falham,Ohzora Publishing,archeology_city_falham.jpg,rulebook
1992,光と闇のレジェンド,Legend of Light and Darkness,Ohzora Publishing,legend_of_light_and_darkness.jpg,rulebook
1992,6つの世界の物語―RPGシナリオメイカー,Six World Stories: RPG Scenario Maker,Micro Design,six_world_stories.jpg,supplement
1992,能登半島幽霊事件,Noto Peninsula Ghost Case,Kodansha,noto_peninsula.jpg,rulebook
