year,japanese,english,publisher,image,product_type,product_code
2004,アリアンロッドRPGルールブック ,Arianrhod RPG Rulebook,Fujimi Shobo,arianrhod.jpg,rulebook,23-2
2004,アリアンロッド・リプレイ銀の輪の封印,Silver Ring Seal,Fujimi Shobo,silver_ring_seal.jpg,replay,
2004,アリアンロッド・リプレイ(2) 闇色の血の騎士,Knight of Dark Blood,Fujimi Shobo,knight_dark_blood.jpg,replay,
2005,アリアンロッドRPG上級ルールブック,Arianrhod RPG Advanced Rulebook,Fujimi Shobo,advanced_rulebook.jpg,rulebook,
2005,アリアンロッド・リプレイ3 金色の鍵の英雄 ,Golden Key Hero,Fujimi Shobo,golden_key_hero.jpg,replay,
2005,アリアンロッド・リプレイEX 死者の花嫁,Dead Bride,Fujimi Shobo,dead_bride.jpg,replay,
2006,リインフォース―アリアンロッド拡張データブック,Reinforce,Game Field,reinforce.jpg,supplement,
2006,アリアンロッドRPG アイテムガイド,Item Guide,Fujimi Shobo,item_guide.jpg,supplement,
2006,アリアンロッドRPGトラベルガイド,Travel Guide,Fujimi Shobo,erindyll.jpg,supplement,
2006,ドレッドダンジョン ,Dread Dungeon,Game Field,dread_dungeon.jpg,scenario,
2007,アリアンロッドRPGエネミーガイド,Enemy Guide,Fujimi Shobo,enemy_guide.jpg,supplement,
2008,エルクレスト学園ガイド,El Crest School Guide,Game Field,el_crest.jpg,scenario,
2008,アリアンロッド・サガ アルディオン大陸ガイド,Arianrhod Saga: Aldion Continent Guide,Fujimi Shobo,aldion.jpg,supplement,
2008,ファーストクエスト,First Quest,Game Field,first_quest.jpg,scenario,
2008,エリンディル・ウォーカー,Erindyll Walker,Game Field,erindyll_walker.jpg,scenario,
2009,アリアンロッドRPG スキルガイド,Skill Guide,Fujimi Shobo,skill_guide.jpg,supplement,
2009,バトルフィールド,Battle Field,Game Field,battle_field.jpg,supplement,
2009,エリンディル・レジェンドガイド アリアンロッドRPGサプリメント,Erindyll Region Guide,Fujimi Shobo,region_guide.jpg,supplement,
2009,アリアンロッド・サガ トラベルガイド ベネット見聞録,Arianrhod Saga: Travel Guide Bennett Memorandum,Fujimi Shobo,bennett.jpg,supplement,
2009,ロスベルク島攻防記,Battle of Rothberg Island,Game Field,rothberg_island.jpg,scenario,
2010,アリアンロッド・サガ タクティクスガイド,Arianrhod Saga: Tactics Guide,Fujimi Shobo,tactics_guide.jpg,supplement,
2011,エリンディル東方ガイド,Erindyll Eastern Guide,Fujimi Shobo,touhou.jpg,supplement,
2011,ロスベルク島攻防記2,Battle of Rothberg Island 2,Game Field,rothberg_island2.jpg,scenario,
2015,ダブルイメージ,Double Image,F.E.A.R.,double_image.jpg,scenario,
