year,japanese,english,publisher,image,product_type
,KARMA SATURDAY NIGHT SPECIAL,Karma Saturday Night Special,doujin,karma_saturday_night_special.png,rulebook
1999,SATASUPE Remix99,Satasupe Remix99,doujin,satasupe_remix_99.jpg,rulebook
2003,Asian Punk RPG サタスペ Remix+,Asian Punk RPG Satasupe Remix+,Hobby Base,asian_punk_rpg_satasupe.jpeg,rulebook
,サタスペ番外地Vol.1「ギャンスタ」,"Satasupe Extra Area Vol.1 ""Gansta""",Hobby Base,extra_land_vol1.jpg,supplement
,サタスペ番外地Vol.2「ツッパリ」,"Satasupe Extra Area Vol.2 ""Tsupari""",Hobby Base,extra_land_vol2.jpg,supplement
,サタスペ番外地Vol.3「ロケロラ」,"Satasupe Extra Area Vol.3 ""Locerora""",Hobby Base,extra_land_vol3.jpg,supplement
,サタスペ番外地Vol.4「ツミガリ」,"Satasupe Extra Land Vol.4 ""Tsumigari""",Hobby Base,extra_land_vol4.jpg,supplement
,サタスペ番外地Vol.5「ラブニャン」,"Satasupe Extra Area Vol.5 ""Love Nyan""",Hobby Base,extra_land_vol5.jpg,supplement
,サタスペ番外地Vol.6「ゴッパパ」,"Satasupe Extra Area Vol.6 ""Goppapa""",Hobby Base,extra_land_vol6.jpg,supplement
,サタスペ番外地Vol.7「ドラゴン」,"Satasupe Extra Land Vol.7 ""Dragon""",Hobby Base,extra_land_vol7.jpg,supplement
,サタスペ番外地Vol.8「ガンマニ」,"Satasupe Extra Area Vol.8 ""Gamani""",Hobby Base,extra_land_vol8.jpg,supplement
,サタスペ食べ放題,All-You-Can-Eat Satasupe,Hobby Base,satasupe_tabehodai.jpg,supplement
2008,Asian punk RPG サタスペ,Asian Punk RPG Satasupe,Shinkigensha,asian_punk_rpg_satasupe2.jpeg,rulebook
2009,ロケットNo.1,Rocket No. 1,Shinkigensha,rocket_no1.jpeg,supplement
2009,デッドマン・ウォーキング,Dead Man Walking,Shinkigensha,dead_man_walking.jpg,supplement
2009,アジアンパンクGO!GO!,Asian Punk Go! Go!,Shinkigensha,asian_punk_go_go.jpg,replay
2010,叫びの家,House of Screaming,Shinkigensha,house_of_screaming.jpg,replay
2011,サタスペ・スペシァル,Satasupe Special,Shinkigensha,satasupe_special.jpg,supplement
2013,悪夢の棲む島,Nightmare Island,Shinkigensha,nightmare_island.jpg,replay
2013,ダボラ 虎と宝とうろんな奴ら,Deborah: Tigers and Teasures,Shinkigensha,deborah.jpg,replay
2015,赤と黒の花嫁,Red and Black Bride,Shinkigensha,red_and_black_bridge.jpg,replay
2016,鉄火場と鉄砲玉,Gambling House and Gunball,Shinkigensha,gambling_house.jpg,supplement
