year,japanese,english,publisher,image,product_type
2003,コール オブ クトゥルフ d20,Call of Cthulhu d20,Shinkigensha,d20_rulebook.jpg,rulebook
2004,クトゥルフ神話TRPG,Call of Cthulhu,Enterbrain,call-of-cthulhu-6th.jpg,rulebook
2004,クトゥルフ神話ガイドブック―20世紀の恐怖神話,Cthulhu Mythos Guidebook-20th Century Horror Mythos,Shinkigensha,guide-for-cthulhu-myth.jpg,supplement
2004,H.P.ラヴクラフト アーカム,H.P. Lovecraft's Arkham,Shinkigensha,arkham.jpg,supplement
2005,キーパーコンパニオン,The Keeper's Companion,Enterbrain,keepers_companion.jpg,supplement
2005,クトゥルフと帝国,Cthulhu and the Empire,Kadokawa,cthulhu_and_empire.jpg,supplement
2005,クトゥルフ・ダークエイジ,Cthulhu Dark Ages,Shinkigensha,dark_ages.jpg,supplement
2006,クトゥルフ神話TRPG 比叡山炎上,Hieizan Flame,Enterbrain,hieizan_flame.jpg,supplement
2006,クトゥルフと帝国リプレイ 白無垢の仮面,White Innocent Mask,Shinkigensha,white_innocent_mask.jpg,replay
2007,エンサイクロペディア・クトゥルフ,The Encyclopedia Cthulhiana,Shinkigensha,encyclopedia_cthulhiana.jpg,supplement
2007,クトゥルフ神話TRPGシナリオ集 七つの怪談,Seven Phantom Stories,Shinkigensha,seven_phantom_stories.jpg,scenario
2008,クトゥルフ神話TRPG マレウス・モンストロルム,Malleus Monstrorum,Enterbrain,malleus_monstrorum.jpg,supplement
2009,クトゥルフ神話TRPG ラヴクラフトの幻夢境,H.P Lovecraft's Dreamlands,Enterbrain,dreamlands.jpg,supplement
2009,クトゥルフ神話TRPGリプレイ るるいえあんてぃーく,R'lyeh Antique,Enterbrain,rlyeh_antique.jpg,replay
2010,クトゥルフ神話TRPG クトゥルフ2010,Cthulhu 2010,Enterbrain,cthulhu_2010.jpg,supplement
2010,クトゥルフ神話ＴＲＰＧリプレイ みなせゼミの名状しがたき夏休み,Minase Seminar Nameless Summer Vacation,Shinkigensha,summer_vacation.jpg,replay
2010,クトゥルフ神話TRPGリプレイ るるいえはいすくーる,R'lyeh High School,Enterbrain,rlyeh_high_school.jpg,replay
2011,クトゥルフ神話TRPG インスマスからの脱出,Escape from Innsmouth,Enterbrain,escape_from_innsmouth.jpg,supplement
2011,クトゥルフ神話TRPGリプレイ るるいえばけーしょん,R'lyeh Vacation,Enterbrain,rlyeh_vacation.jpg,replay
2011,クトゥルフ・ワールドツアー 忌まわしき古代遺跡,Cthulhu World Tour: Brooding Ruins,Arclight,brooding_ruins.jpg,supplement
2011,クトゥルフ・ワールドツアー クトゥルフ・ホラーショウ,Cthulhu World Tour: Cthulhu Horror Show,Arclight,cthulhu_horror_show.jpg,supplement
2011,クトゥルフ・ワールドツアー　ナチス邪神帝国の陰謀,Cthulhu World Tour: Nazi Evil God Empire Conspiracy,Arclight,nazi_evil_god.jpg,supplement
2012,クトゥルフ神話TRPG入門 るるいえびぎなーず,Introduction to Cthulhu Mythos TRPG,Enterbrain,intro_to_cthulhu.jpg,supplement
2012,クトゥルフ神話TRPG ダニッチの怪,H.P. Lovecraft's Dunwich,Enterbrain,dunwich.jpg,supplement
2012,クトゥルフ神話TRPGリプレイ るるいえばーすでい,R'lyeh Birthday,Enterbrain,rlyeh_birthday.jpg,replay
2013,クトゥルフ神話TRPG クトゥルフカルト・ナウ,Cthulhu Cults Now,Enterbrain,cthulhu_cults_now.jpg,supplement
2013,クトゥルフ神話TRPG キーパーコンパニオン 改訂新版,The Keeper's Companion Revised Edition,Enterbrain,keepers_companion_v2.jpg,supplement
2013,クトゥルフ神話TRPGリプレイ るるいえとらべらーず,R'lyeh Travelers,Enterbrain,rlyeh_travelers.jpg,replay
2014,クトゥルフ神話TRPG リプレイ るるいえぐりもあーる,R'lyeh Grimoire,Kadokawa,rlyeh_grimoire.jpg,replay
2014,クトゥルフ神話TRPG リプレイ るるいえがすらいと,R'lyeh Gaslight,Kadokawa,rlyeh_gaslight.jpg,replay
2014,クトゥルフ神話TRPG リプレイ 御津門学園ゲーム部の冒涜的な活動,Blasphemy activities of the Mitsumon Gakuen Game Club,Kadokawa,blasphemous_activities.jpg,replay
2014,クトゥルフ神話TRPG アーカムのすべて 完全版,H.P. Lovecraft's Arkham: Complete Edition,Kadokawa,lovecrafts_arkham.jpg,supplement
2014,クトゥルフ神話TRPG クトゥルフ・バイ・ガスライト,Cthulhu by Gaslight,Kadokawa,cthulhu_by_gaslight.jpg,supplement
2015,クトゥルフ神話TRPG クトゥルフ・フラグメント,Cthulhu Fragments,Kadokawa,fragments.jpg,supplement
2015,クトゥルフ神話TRPG サプリメント クトゥルフ2015,Cthulhu 2015,Kadokawa,cthulhu_2015.jpg,supplement
2015,クトゥルフ神話TRPG リプレイ るるいえみつかどにっく,R'lyeh Mitsukado Nikku,Kadokawa,rlyeh_mitsukado_nikku.jpg,replay
2016,クトゥルフ神話TRPG キングスポートのすべて,H.P. Lovecraft's Kingsport,Kadokawa,kingsport.jpg,supplement
2016,クトゥルフ神話TRPG モジュラー・クトゥルフ,Modular Cthulhu,Kadokawa,modular_cthulhu.jpg,supplement
2016,クトゥルフ神話怪物図鑑,S. Petersen's Field Guide to Lovecraftian Horrors,Kadokawa,lovecraftian_horrors.jpg,supplement
2017,クトゥルフ神話TRPG クトゥルフ・コデックス,Cthulhu Codex,Kadokawa,cthulhu_codex.jpg,supplement
2018,クトゥルフ神話TRPG シナリオ集 星辰正しき刻,The Stars Are Right!,Kadokawa,stars_are_right.jpg,scenario
2018,クトゥルフ神話TRPG シナリオ集 アカシック13,Akashic 13,Kadokawa,akashic_13.jpg,scenario
2019,新クトゥルフ神話TRPG ルールブック,Call of Cthulhu,Kadokawa,call-of-cthulhu-7th.jpg,rulebook
2019,クトゥルフ神話TRPG クトゥルフ・タブレット,Cthulhu Tablet,Kadokawa,cthulhu_tablet.jpg,supplement
2020,新クトゥルフ神話TRPG クトゥルフ2020,New Cthulhu Myth TRPG Cthulhu 2020,Kadokawa,cthulhu_2020.jpg,supplement
2020,新クトゥルフ神話TRPG スタートセット,New Cthulhu Myth TRPG Start Set,Kadokawa,new_cthulhu_myth_start_set.jpg,scenario
2021,新クトゥルフ神話TRPG マレウス・モンストロルム Vol.1 クリーチャー編,Malleus Monstrorum Vol.1 Creature Edition,Kadokawa,maleus_monstrorum_vol1.jpg,supplement
2021,新クトゥルフ神話TRPG マレウス・モンストロルム Vol.2 神格編,Malleus Monstrorum Vol.2 Diety Edition,Kadokawa,maleus_monstrorum_vol2.jpg,supplement
