year,japanese,english,publisher,image,product_type,product_code
,ウェンディゴへの挑戦,Alone Against the Wendigo,Hobby Japan,alone_against_the_wendigo.jpg,box set,No. 128-1
,アーカムのすべて,Arkham Unveiled,Hobby Japan,arkham_unveiled.jpg,box set,No. 128-10
1986,クトゥルフの呼び声,Call of Cthulhu,Hobby Japan,call_of_cthulhu.jpg,box set,No. 128
,クトゥルフの呼び声,Call of Cthulhu,Hobby Japan,call_of_cthulhu_5th_maybe.jpg,rulebook,
,ガス灯に浮かぶクトゥルフ,Cthulhu by Gaslight,Hobby Japan,cthulhu_by_gaslight.jpg,box set,No. 128-6
,クトゥルフ・コンパニオン,Cthulhu Companion,Hobby Japan,cthulhu_companion.jpg,box set,No. 128-5
,クトゥルフ・ハンドブック,Cthulhu Handbook,Hobby Japan,cthulhu_handbook.jpg,supplement,
,クトゥルフ モンスターガイド,Cthulhu Monsters,Hobby Japan,cthulhu_monsters.jpg,supplement,
,クトゥルフ モンスターガイドⅡ,Cthulhu Monsters II,Hobby Japan,cthulhu_monsters_ii.jpg,supplement,
,クトゥルフ・ナウ,Cthulhu Now,Hobby Japan,cthulhu_now.jpg,box set,No. 128-9
1990,クトゥルフ・ワールド・ツアー,Cthulhu World Tour,Hobby Japan,cthulhu_world_tour.jpg,supplement,
,ユゴスからの侵略,The Fungi from Yuggoth,Hobby Japan,fungi_from_yuggoth.jpg,box set,No. 128-4
,ニャルラトテップの仮面,Masks of Nyarlathotep,Hobby Japan,masks_of_nyarlathotep.jpg,box set,No. 128-8
,ヨグ＝ソトースの影,Shadows of Yog-sothoth,Hobby Japan,shadows_of_yog_sothoth.jpg,box set,No. 128-2
,療養所の悪魔,The Asylum & other tales,Hobby Japan,the_asylum.jpg,box set,No. 128-3
,黄昏の天使 夜叉姫伝説：第一部,The Twilight Angel: The Stories of the Demon Princess: First Part,Hobby Japan,twilight_angel.jpg,box set,No. 128-7
