year,japanese,english,publisher,image,product_type
2005,異界戦記カオスフレア,Spirit World War: Chaos Flare,Shinkigensha,chaos_flare.jpg,rulebook
2006,異界戦記カオスフレア サプリメント インペリアルジェイド,Imperial Jade,Shinkigensha,imperial_jade.jpg,supplement
2006,異界戦記カオスフレアサプリメント2 クリスタルトゥーム,Crystal Tomb,Shinkigensha,crystal_tomb.jpg,supplement
2006,異界戦記カオスフレアシナリオ集 宿命の交わる城,Castle of Fate,Arclight,castle_of_fate.jpg,scenario
2006,異界戦記カオスフレア・リプレイ 暁の戦士たち,Akatsuki Warriors,Shinkigensha,akatsuki_warriors.jpg,replay
2007,異界戦記カオスフレア リプレイ リオフレード魔法学院 ,Rio Fred Magic Academy,Shinkigensha,rio_fred_magic_academy.jpg,replay
2008,異界戦記カオスフレア Second Chapter,Second Chapter,Shinkigensha,second_chapter.jpg,rulebook
2008,異界戦記カオスフレア Second Chapter データブック ラピスフィロソフォルム,Lapis Philosopher,Shinkigensha,lapis_philosophy_form.jpg,supplement
2009,異界戦記カオスフレア Second Chapter リプレイ 世界の卵,World Egg,Shinkigensha,world_egg.jpg,replay
2010,異界戦記カオスフレア Second Chapter サプリメント フローライトプリズン,Fluorite Prison,Shinkigensha,fluorite_prison.jpg,supplement
2010,異界戦記カオスフレア Second Chapter リプレイ 神の卵,God's Egg,Shinkigensha,gods_egg.jpg,replay
2012,異界戦記カオスフレアSCサプリメント ダークネスディアマント,Darkness Diamant,Shinkigensha,darkness_diamant.jpg,supplement
2012,異界戦記カオスフレアSecond Chapterサプリメント ダイアモンドキャッスル,Diamond Castle,Shinkigensha,diamond_castle.jpg,supplement
2013,異界戦記カオスフレアSCサプリメント ターコイズウィスパー,Turquoise Whisper,Shinkigensha,turquoise_whisper.jpg,supplement
2014,異界戦記カオスフレアSCサプリメント クリムゾンガーネット,Crimson Garnet,Shinkigensha,crimson_garnet.jpg,supplement
2015,異界戦記カオスフレアSCサプリメント アズライトブルー,As Light Blue,Shinkigensha,as_light_blue.jpg,supplement
2015,異界戦記カオスフレア Second Chapter ファンブック オリジン・オルタナティブ,Origin Alternative,Shinkigensha,origin_alternative.jpg,supplement
2016,なぜなに未来侵略 カオスフレア編,Why the Future Invasion,Shinkigensha,why_the_future_invasion.jpg,supplement
2016,なぜなに未来侵略 テーブルトークRPG編,Why the Future Invasion Tabletop RPG Edition,Shinkigensha,why_the_future_invasion_trpg.jpg,supplement
2017,異界戦記カオスフレアSecond Chapterサプリメント サンセットルビー,Sunset Ruby,Shinkigensha,sunset_ruby.jpg,supplement
2017,異界戦記カオスフレアSecond Chapter サプリメント ジェネシックサファイア,Genesic Sapphire,Shinkigensha,genesic_sapphire.jpg,supplement
2020,異界戦記カオスフレアSecond Chapter サプリメント エメラルドドメイン,Emerald Domain,Shinkigensha,emerald_domain.jpg,supplement
2021,異界戦記カオスフレアSecond Chapter サプリメント エキゾチックアンバー,Exotic Amber,Shinkigensha,exotic_amber.jpg,supplement
