year,japanese,english,publisher,image,product_type
1991,Vol. 1,,Kadokawa Shoten,199111.jpg,periodical
1992,Vol. 2,,Kadokawa Shoten,199202.jpg,periodical
1992,Vol. 3,,Kadokawa Shoten,199206.jpg,periodical
1992,Vol. 4,,Kadokawa Shoten,199208.jpg,periodical
1992,Vol. 5,,Kadokawa Shoten,199211.jpg,periodical
1993,Vol. 6,,Kadokawa Shoten,199302.jpg,periodical
1993,Vol. 7,,Kadokawa Shoten,199305.jpg,periodical
1993,Vol. 8,,Kadokawa Shoten,199308.jpg,periodical
1993,Vol. 9,,Kadokawa Shoten,199311.jpg,periodical
1994,Vol. 10,,Kadokawa Shoten,199402.jpg,periodical
1994,Vol. 11,,Kadokawa Shoten,199405.jpg,periodical
1994,1994/8,,Kadokawa Shoten,199408.jpg,periodical
1994,1994/10,,Kadokawa Shoten,199410.jpg,periodical
1994,1994/12,,Kadokawa Shoten,199412.jpg,periodical
1995,1995/2,,Kadokawa Shoten,199502.jpg,periodical
1995,1995/4,,Kadokawa Shoten,199504.jpg,periodical
1995,1995/6,,Kadokawa Shoten,199506.jpg,periodical
1995,1995/8,,Kadokawa Shoten,199508.jpg,periodical
1995,1995/10,,Kadokawa Shoten,199510.jpg,periodical
1995,1995/12,,Kadokawa Shoten,199512.jpg,periodical
1996,1996/2,,Kadokawa Shoten,199602.jpg,periodical
1996,1996/4,,Kadokawa Shoten,199604.jpg,periodical
1996,1996/6,,Kadokawa Shoten,199606.jpg,periodical
1996,1996/8,,Kadokawa Shoten,199608.jpg,periodical
1996,1996/10,,Kadokawa Shoten,199610.jpg,periodical
