year,japanese,english,publisher,image,product_type
2006,デモンパラサイト,Demon Parasite,Shinkigensha,demon_parasite.jpg,rulebook
2006,デモンパラサイト上級ルールブック,Advanced Rulebook,Shinkigensha,advanced_rulebook.jpg,rulebook
2006,悪魔憑きの目覚め,Awakening of Devil Possession,Fujimi Shobo,awakening_of_devil_possession.jpg,replay
2006,悪魔憑きの放課後,After School Possession of the Devil,Fujimi Shobo,after_school_possession_of_the_devil.jpg,replay
2007,ディアボロス・スクールガイド,Diabolos School Guide,Shinkigensha,diabolos_school_guide.jpg,supplement
2007,ディアボロス・プリズン,Diabolos Prison,Shinkigensha,diabolos_prison.jpg,supplement
2007,ディアボロス・リバース,Diabolos Reverse,Shinkigensha,diabolos_reverse.jpg,supplement
2007,悪魔憑きの学園,Devil Possession School,Fujimi Shobo,devil_possession_school.jpg,replay
2007,剣神(ブレードデモンズ)〈1〉継承者,Sword God (Blade Demons) 1 Inheritor,Fujimi Shobo,inheritor.jpg,replay
2007,剣神(ブレードデモンズ)〈2〉簒奪者,Sword God (Blade Demons) 2 Usurper,Fujimi Shobo,usurper.jpg,replay
2008,鬼御魂 ,Demon Soul,Shinkigensha,demon_soul.jpg,supplement
2008,ディアボロス・ユニオン,Diabolos Union,Shinkigensha,diabolos_union.jpg,supplement
2008,剣神(ブレードデモンズ)〈3〉超越者,Sword God (Blade Demons) 3 Transcendent,Fujimi Shobo,transcendent.jpg,replay
2008,剣神(4) 挑戦者,Sword God 4 Challenger,Fujimi Shobo,challenger.jpg,replay
2008,剣神(5) 創世者,Sword God 5 Founder,Fujimi Shobo,founder.jpg,replay
2008,極道☆キラリ(1),Gokudo Kirari 1,Fujimi Shobo,gokudo_kirari_1.jpg,replay
2008,ぬぎぬぎアクマとぱくぱくデーモン,Nuginugi Akuma and Pakupaku Devil,Fujimi Shobo,nuginugi_akuma.jpg,replay
2009,ディアボロス・コーポレーション,Diabolos Corporation,Shinkigensha,diabolos_corporation.jpg,supplement
2009,ディアボロス・エボリューション,Diabolos Evolution,Shinkigensha,diabolos_evolution.jpg,scenario
2009,極道☆キラリ(2),Gokudo Kirari 2,Fujimi Shobo,gokudo_kirari_2.jpg,replay
2009,源平鬼御魂 剣姫照魔伝,Genpei Oni Soul Sword Princess Terumaden,Shinkigensha,genpei.jpg,supplement
2010,極道☆キラリ(3),Gokudo Kirari 3,Fujimi Shobo,gokudo_kirari_3.jpg,replay
