year,japanese,english,publisher,image,product_type
1994,Vol. 1,Vol. 1,Media Works,01.jpg,periodical
,Vol. 2,Vol. 2,Media Works,02.jpg,periodical
,Vol. 3,Vol. 3,Media Works,03.jpg,periodical
,Vol. 4,Vol. 4,Media Works,04.jpg,periodical
,Vol. 5,Vol. 5,Media Works,05.jpg,periodical
,Vol. 6,Vol. 6,Media Works,06.jpg,periodical
,Vol. 7,Vol. 7,Media Works,07.jpg,periodical
,Vol. 8,Vol. 8,Media Works,08.jpg,periodical
,Vol. 9,Vol. 9,Media Works,09.jpg,periodical
,Vol. 10,Vol. 10,Media Works,10.jpg,periodical
,Vol. 11,Vol. 11,Media Works,11.jpg,periodical
,Vol. 12,Vol. 12,Media Works,12.jpg,periodical
,Vol. 13,Vol. 13,Media Works,13.jpg,periodical
,Vol. 14,Vol. 14,Media Works,14.jpg,periodical
,Vol. 15,Vol. 15,Media Works,15.jpg,periodical
,Vol. 16,Vol. 16,Media Works,16.jpg,periodical
,Vol. 17,Vol. 17,Media Works,17.jpg,periodical
,Vol. 18,Vol. 18,Media Works,18.jpg,periodical
,Vol. 19,Vol. 19,Media Works,19.jpg,periodical
,Vol. 20,Vol. 20,Media Works,20.jpg,periodical
,Vol. 21,Vol. 21,Media Works,21.jpg,periodical
,Vol. 22,Vol. 22,Media Works,22.jpg,periodical
,Vol. 23,Vol. 23,Media Works,23.jpg,periodical
,Vol. 24,Vol. 24,Media Works,24.jpg,periodical
,Vol. 25,Vol. 25,Media Works,25.jpg,periodical
,Vol. 26,Vol. 26,Media Works,26.jpg,periodical
1998,Vol. 27,Vol. 27,Media Works,27.jpg,periodical
