year,japanese,english,publisher,image,product_type
2003,プレイヤーズハンドブック,Player's Handbook,Hobby Japan,phb.jpg,rulebook
2003,ダンジョンマスターズガイド,Dungeon Master's Guide,Hobby Japan,dmg.jpg,rulebook
2003,モンスターマニュアル,Monster Manual,Hobby Japan,mm.jpg,rulebook
2003,地底の城砦,The Sunless Citadel,Hobby Japan,,scenario
2003,秘密の工房,The Forge of Fury,Hobby Japan,,scenario
2003,夢でささやく者,The Speaker in Dreams,Hobby Japan,,scenario
2003,環状列石の謎,The Standing Stones,Hobby Japan,,scenario
2003,夜牙塔の心臓,The Heart of Nightfang Spire,Hobby Japan,,scenario
2003,現われた地下都市,Deep Horizon,Hobby Japan,,scenario
2004,ベーシック・セット,Basic Set,Hobby Japan,,box set
2004,武器・装備ガイド,Arms and Equipment Guide,Hobby Japan,,supplement
2004,次元界の書,Manual of the Planes,Hobby Japan,,supplement
2004,不浄なる暗黒の書,Book of Vile Darkness,Hobby Japan,,supplement
2004,キャラクター作成ガイド,Hero Builder's Guidebook,Hobby Japan,,supplement
2004,挑戦の書,Book of Challenges,Hobby Japan,,supplement
2004,邪悪寺院、再び,Return to the Temple of Elemental Evil,Hobby Japan,,scenario
2004,鋼鉄城の主,Lord of the Iron Fortress,Hobby Japan,,scenario
2004,迷える魂を喰らう者,Bastion of Broken Souls,Hobby Japan,,scenario
2005,プレイヤーズハンドブック  第3.5版,Player's Handbook v.3.5,Hobby Japan,phb_35.jpg,rulebook
2005,ダンジョンマスターズガイド  第3.5版,Dungeon Master's Guide v.3.5,Hobby Japan,dmg_35.jpg,rulebook
2005,モンスターマニュアル  第3.5版,Monster Manual v.3.5,Hobby Japan,mm_35.jpg,rulebook
2005,サイオニクスハンドブック,Expanded Psionics Manual,Hobby Japan,,supplement
2005,戦士大全,Complete Warrior,Hobby Japan,,supplement
2005,マスタースクリーン,Master Screen,Hobby Japan,,supplement
2006,プレイヤーズハンドブックⅡ,Player's Handbook II,Hobby Japan,,supplement
2006,高貴なる行いの書,Book of Exalted Deeds,Hobby Japan,,supplement
2006,石の種族,Races of Stone,Hobby Japan,,supplement
2006,自然の種族,Races of the Wild,Hobby Japan,,supplement
2006,宿命の種族,Races of Destiny,Hobby Japan,,supplement
2006,信仰大全,Complete Arcane,Hobby Japan,,supplement
2006,秘術大全,Complete Divine,Hobby Japan,,supplement
2006,冒険者大全,Complete Adventurer,Hobby Japan,,supplement
2007,ビギナーズ・セット,Beginner's Set,Hobby Japan,,box set
2007,竜の書 ドラコノミコン,Draconomicon,Hobby Japan,,supplement
2007,呪文大辞典,Spell Compendium,Hobby Japan,,supplement
2007,魔物の書Ⅰ 奈落の軍勢,Fiendish Codex I: Hordes of the Abyss,Hobby Japan,,supplement
2007,魔物の書Ⅱ 九層地獄の支配者,Fiendish Codex II: Tyrants of the Nine Hells,Hobby Japan,,supplement
2007,赤い手は滅びのしるし,Red Hand of Doom,Hobby Japan,,scenario
2007,鬼哭き穴に潜む罠,Scourge of the Howling Horde,Hobby Japan,,scenario
2008,無頼大全,Complete Scoundrel,Hobby Japan,,supplement
2008,魔道師大全,Complete Mage,Hobby Japan,,supplement
2008,勇者大全,Complete Champion,Hobby Japan,,supplement
2008,大帝王の墳墓,Barrow of the Forgotten King,Hobby Japan,,scenario
2008,暗黒洞の尖塔,The Sinister Spire,Hobby Japan,,scenario
2008,蛇人間の城塞,Fortress of the Yuan-Ti,Hobby Japan,,scenario
2009,モンスターマニュアルⅡ,Monster Manual II,Hobby Japan,,supplement
2010,モンスターマニュアルⅢ,Monster Manual III,Hobby Japan,,supplement
