year,japanese,english,publisher,image,product_type
2001,ダブルクロス,Double Cross,Game Field,double-cross-1st.jpg,rulebook
2002,デモンズシティ,Demon City,Game Field,demon-city.jpg,supplement
2003,ダブルクロスThe 2nd Edition,Double Cross: The 2nd Edition,Fujimi Shobo,double-cross-2nd.jpg,rulebook
2004,ブレイクアップ,Breakup,Game Field,breakup.jpg,supplement
2005,公式ファンブック ライブボックス,Official Fanbook Livebox,Fujimi Shobo,livebox.jpg,supplement
2006,アウトランド,Outland,Fujimi Shobo,outland.jpg,scenario
2007,ラディカルドライブ,Radical Drive,Fujimi Shobo,radical-drive.jpg,supplement
2008,アルターライン,Alter Line,Game Field,alter-line.jpg,supplement
2008,ントラストサイド,Contrast Side,Game Field,contrast-side.jpg,supplement
2008,ハートレスメモリー,Heartless Memory,Fujimi Shobo,heartless-memory.jpg,scenario
