year,japanese,english,publisher,image,product_type
1988,1988/3,,Fujimi Shobo,198803.jpg,periodical
1988,1988/4,,Fujimi Shobo,198804.jpg,periodical
1988,1988/5,,Fujimi Shobo,198805.jpg,periodical
1988,1988/6,,Fujimi Shobo,198806.jpg,periodical
1988,1988/7,,Fujimi Shobo,198807.jpg,periodical
1988,1988/8,,Fujimi Shobo,198808.jpg,periodical
1988,1988/9,,Fujimi Shobo,198809.jpg,periodical
1988,1988/10,,Fujimi Shobo,198810.jpg,periodical
1988,1988/11,,Fujimi Shobo,198811.jpg,periodical
1988,1988/12,,Fujimi Shobo,198812.jpg,periodical
1989,1989/1,,Fujimi Shobo,198901.jpg,periodical
1989,1989/2,,Fujimi Shobo,198902.jpg,periodical
1989,1989/3,,Fujimi Shobo,198903.jpg,periodical
1989,1989/4,,Fujimi Shobo,198904.jpg,periodical
1989,1989/5,,Fujimi Shobo,198905.jpg,periodical
1989,1989/6,,Fujimi Shobo,198906.jpg,periodical
1989,1989/7,,Fujimi Shobo,198907.jpg,periodical
1989,1989/8,,Fujimi Shobo,198908.jpg,periodical
1989,1989/9,,Fujimi Shobo,198909.jpg,periodical
1989,1989/10,,Fujimi Shobo,198910.jpg,periodical
1989,1989/11,,Fujimi Shobo,198911.jpg,periodical
1989,1989/12,,Fujimi Shobo,198912.jpg,periodical
1990,1990/1,,Fujimi Shobo,199001.jpg,periodical
1990,1990/2,,Fujimi Shobo,199002.jpg,periodical
1990,1990/3,,Fujimi Shobo,199003.jpg,periodical
1990,1990/4,,Fujimi Shobo,199004.jpg,periodical
1990,1990/5,,Fujimi Shobo,199005.jpg,periodical
1990,1990/6,,Fujimi Shobo,199006.jpg,periodical
1990,1990/7,,Fujimi Shobo,199007.jpg,periodical
1990,1990/8,,Fujimi Shobo,199008.jpg,periodical
1990,1990/9,,Fujimi Shobo,199009.jpg,periodical
1990,1990/10,,Fujimi Shobo,199010.jpg,periodical
1990,1990/11,,Fujimi Shobo,199011.jpg,periodical
1990,1990/12,,Fujimi Shobo,199012.jpg,periodical
1991,1991/1,,Fujimi Shobo,199101.jpg,periodical
1991,1991/2,,Fujimi Shobo,199102.jpg,periodical
1991,1991/3,,Fujimi Shobo,199103.jpg,periodical
1991,1991/4,,Fujimi Shobo,199104.jpg,periodical
1991,1991/5,,Fujimi Shobo,199105.jpg,periodical
1991,1991/6,,Fujimi Shobo,199106.jpg,periodical
1991,1991/7,,Fujimi Shobo,199107.jpg,periodical
1991,1991/8,,Fujimi Shobo,199108.jpg,periodical
1991,1991/9,,Fujimi Shobo,199109.jpg,periodical
1991,1991/10,,Fujimi Shobo,199110.jpg,periodical
1991,1991/11,,Fujimi Shobo,199111.jpg,periodical
1991,1991/12,,Fujimi Shobo,199112.jpg,periodical
1992,1992/1,,Fujimi Shobo,199201.jpg,periodical
1992,1992/2,,Fujimi Shobo,199202.jpg,periodical
1992,1992/3,,Fujimi Shobo,199203.jpg,periodical
1992,1992/4,,Fujimi Shobo,199204.gif,periodical
1992,1992/5,,Fujimi Shobo,199205.jpg,periodical
1992,1992/6,,Fujimi Shobo,199206.jpg,periodical
1992,1992/7,,Fujimi Shobo,199207.jpg,periodical
1992,1992/8,,Fujimi Shobo,199208.jpg,periodical
1992,1992/9,,Fujimi Shobo,199209.jpg,periodical
1992,1992/10,,Fujimi Shobo,199210.jpg,periodical
1992,1992/11,,Fujimi Shobo,199211.jpg,periodical
1992,1992/12,,Fujimi Shobo,199212.jpg,periodical
1993,1993/1,,Fujimi Shobo,199301.jpg,periodical
1993,1993/2,,Fujimi Shobo,199302.jpg,periodical
1993,1993/3,,Fujimi Shobo,199303.jpg,periodical
1993,1993/4,,Fujimi Shobo,199304.jpg,periodical
1993,1993/5,,Fujimi Shobo,199305.jpg,periodical
1993,1993/6,,Fujimi Shobo,199306.jpg,periodical
1993,1993/7,,Fujimi Shobo,199307.jpg,periodical
1993,1993/8,,Fujimi Shobo,199308.jpg,periodical
1993,1993/9,,Fujimi Shobo,199309.jpg,periodical
1993,1993/10,,Fujimi Shobo,199310.jpg,periodical
1993,1993/11,,Fujimi Shobo,199311.jpg,periodical
1993,1993/12,,Fujimi Shobo,199312.jpg,periodical
1994,1994/1,,Fujimi Shobo,199401.jpg,periodical
1994,1994/2,,Fujimi Shobo,199402.jpg,periodical
1994,1994/3,,Fujimi Shobo,199403.jpg,periodical
1994,1994/4,,Fujimi Shobo,199404.jpg,periodical
1994,1994/5,,Fujimi Shobo,199405.jpg,periodical
1994,1994/6,,Fujimi Shobo,199406.jpg,periodical
1994,1994/7,,Fujimi Shobo,199407.jpg,periodical
1994,1994/8,,Fujimi Shobo,199408.jpg,periodical
1994,1994/9,,Fujimi Shobo,199409.jpg,periodical
1994,1994/10,,Fujimi Shobo,199410.jpg,periodical
1994,1994/11,,Fujimi Shobo,199411.jpg,periodical
1994,1994/12,,Fujimi Shobo,199412.jpg,periodical
1995,1995/1,,Fujimi Shobo,199501.jpg,periodical
1995,1995/2,,Fujimi Shobo,199502.jpg,periodical
1995,1995/3,,Fujimi Shobo,199503.jpg,periodical
1995,1995/4,,Fujimi Shobo,199504.jpg,periodical
1995,1995/5,,Fujimi Shobo,199505.jpg,periodical
1995,1995/6,,Fujimi Shobo,199506.jpg,periodical
1995,1995/7,,Fujimi Shobo,199507.jpg,periodical
1995,1995/8,,Fujimi Shobo,199508.jpg,periodical
1995,1995/9,,Fujimi Shobo,199509.jpg,periodical
1995,1995/10,,Fujimi Shobo,199510.jpg,periodical
1995,1995/11,,Fujimi Shobo,199511.jpg,periodical
1995,1995/12,,Fujimi Shobo,199512.jpg,periodical
1996,1996/1,,Fujimi Shobo,199601.jpg,periodical
1996,1996/2,,Fujimi Shobo,199602.jpg,periodical
