year,japanese,english,publisher,image
1988,1988/3,,Fujimi Shobo,198803.jpg
1988,1988/4,,Fujimi Shobo,198804.jpg
1988,1988/5,,Fujimi Shobo,198805.jpg
1988,1988/6,,Fujimi Shobo,198806.jpg
1988,1988/7,,Fujimi Shobo,198807.jpg
1988,1988/8,,Fujimi Shobo,198808.jpg
1988,1988/9,,Fujimi Shobo,198809.jpg
1988,1988/10,,Fujimi Shobo,198810.jpg
1988,1988/11,,Fujimi Shobo,198811.jpg
1988,1988/12,,Fujimi Shobo,198812.jpg
1989,1989/1,,Fujimi Shobo,198901.jpg
1989,1989/2,,Fujimi Shobo,198902.jpg
1989,1989/3,,Fujimi Shobo,198903.jpg
1989,1989/4,,Fujimi Shobo,198904.jpg
1989,1989/5,,Fujimi Shobo,198905.jpg
1989,1989/6,,Fujimi Shobo,198906.jpg
1989,1989/7,,Fujimi Shobo,198907.jpg
1989,1989/8,,Fujimi Shobo,198908.jpg
1989,1989/9,,Fujimi Shobo,198909.jpg
1989,1989/10,,Fujimi Shobo,198910.jpg
1989,1989/11,,Fujimi Shobo,198911.jpg
1989,1989/12,,Fujimi Shobo,198912.jpg
1990,1990/1,,Fujimi Shobo,199001.jpg
1990,1990/2,,Fujimi Shobo,199002.jpg
1990,1990/3,,Fujimi Shobo,199003.jpg
1990,1990/4,,Fujimi Shobo,199004.jpg
1990,1990/5,,Fujimi Shobo,199005.jpg
1990,1990/6,,Fujimi Shobo,199006.jpg
1990,1990/7,,Fujimi Shobo,199007.jpg
1990,1990/8,,Fujimi Shobo,199008.jpg
1990,1990/9,,Fujimi Shobo,199009.jpg
1990,1990/10,,Fujimi Shobo,199010.jpg
1990,1990/11,,Fujimi Shobo,199011.jpg
1990,1990/12,,Fujimi Shobo,199012.jpg
1991,1991/1,,Fujimi Shobo,199101.jpg
1991,1991/2,,Fujimi Shobo,199102.jpg
1991,1991/3,,Fujimi Shobo,199103.jpg
1991,1991/4,,Fujimi Shobo,199104.jpg
1991,1991/5,,Fujimi Shobo,199105.jpg
1991,1991/6,,Fujimi Shobo,199106.jpg
1991,1991/7,,Fujimi Shobo,199107.jpg
1991,1991/8,,Fujimi Shobo,199108.jpg
1991,1991/9,,Fujimi Shobo,199109.jpg
1991,1991/10,,Fujimi Shobo,199110.jpg
1991,1991/11,,Fujimi Shobo,199111.jpg
1991,1991/12,,Fujimi Shobo,199112.jpg
1992,1992/1,,Fujimi Shobo,199201.jpg
1992,1992/2,,Fujimi Shobo,199202.jpg
1992,1992/3,,Fujimi Shobo,199203.jpg
1992,1992/4,,Fujimi Shobo,199204.gif
1992,1992/5,,Fujimi Shobo,199205.jpg
1992,1992/6,,Fujimi Shobo,199206.jpg
1992,1992/7,,Fujimi Shobo,199207.jpg
1992,1992/8,,Fujimi Shobo,199208.jpg
1992,1992/9,,Fujimi Shobo,199209.jpg
1992,1992/10,,Fujimi Shobo,199210.jpg
1992,1992/11,,Fujimi Shobo,199211.jpg
1992,1992/12,,Fujimi Shobo,199212.jpg
1993,1993/1,,Fujimi Shobo,199301.jpg
1993,1993/2,,Fujimi Shobo,199302.jpg
1993,1993/3,,Fujimi Shobo,199303.jpg
1993,1993/4,,Fujimi Shobo,199304.jpg
1993,1993/5,,Fujimi Shobo,199305.jpg
1993,1993/6,,Fujimi Shobo,199306.jpg
