category,product_type,japanese,english,publisher,year,product_code
abyss,box set,深淵,Abyss,Hobby Japan,1997,
abyss,box set,城砦,Citadel,Hobby Japan,1997,
abyss,scenario,人の夢、獣の夢 銀の門物語拾遺 第一巻,"Human Dreams, Beast Dreams: Silver Gate Story Collection Vol. 1",Suzaku Games,1999,
abyss,supplement,追憶,Recollection,Suzaku Games,2000,
abyss,supplement,血のごとく赤き ─夢魔の占い札,Bloody Red: Tarot Card of the Succubus,Suzaku Games,2000,
abyss,scenario,妖魔綺譚,Beautiful Demon,Suzaku Games,2002,
abyss,rulebook,深淵 第二版,Abyss: 2nd Edition,Enterbrain,2008,
adnd-adventure-game-book,gamebook,パックス砦の囚人,Prisoners of Pax Tharkas,Fujimi Shobo,1985,1-1
adnd-adventure-game-book,gamebook,パックス砦の囚人,Prisoners of Pax Tharkas,Fujimi Shobo,1985,1-1
adnd-adventure-game-book,gamebook,ゴーストタワーの魂の石,The Ghost Tower,Fujimi Shobo,1986,1-2
adnd-adventure-game-book,gamebook,ゴーストタワーの魂の石,The Ghost Tower,Fujimi Shobo,1986,1-2
adnd-adventure-game-book,gamebook,クォーラス城からの脱出,Escape from Castle Quarras,Fujimi Shobo,1986,1-3
adnd-adventure-game-book,gamebook,ウェイレスの大魔術師,The Soulforge,Fujimi Shobo,1986,1-4
adnd-adventure-game-book,gamebook,忍者への道,Test of the Ninja,Fujimi Shobo,1986,1-5
adnd-adventure-game-book,gamebook,暗黒城の領主,Master of Ravenloft,Fujimi Shobo,1986,1-6
adnd-adventure-game-book,gamebook,魔法の王国1 魔力の杖,Sceptre of Power,Fujimi Shobo,1987,1-7
adnd-adventure-game-book,gamebook,ババ・ヤーガの悪夢の王国,Nightmare Realm of Baba Yaga,Fujimi Shobo,1987,1-8
adnd-adventure-game-book,gamebook,魔法の王国2 魔術師の宝冠,The Sorcerer's Crown,Fujimi Shobo,1987,1-9
adnd-adventure-game-book,gamebook,ドラゴンランス・アドベンチャー 奪われた竜の,Lords of Doom,Fujimi Shobo,1987,1-10
adnd-adventure-game-book,gamebook,魔法の王国3 魔域の対決,Clash of the Sorcerers,Fujimi Shobo,1987,1-11
adnd-adventure-game-book,slipcase set,アルカニア城の決闘,Castle Arcania,Fujimi Shobo,1986,
adnd-adventure-game-book,slipcase set,超古代ロボットを探せ ,Battle for the Ancient Robot,Fujimi Shobo,1987,
adnd-adventure-game-book,slipcase set,レッド・ドラゴンの逆襲,Revenge of the Red Dragon,Fujimi Shobo,1987,
adnd-adventure-game-book,gamebook,ムーンシェイ・サーガ〈1〉魔獣よみがえる,Moonshae Saga 1: Revive the Beast,Fujimi Shobo,1989,3-1
adnd-adventure-game-book,gamebook,ムーンシェイ・サーガ〈2〉竪琴と一角獣,Moonshae Saga 2: Lyre and Unicorn,Fujimi Shobo,1989,3-2
