year,japanese,english,publisher,image,product_type
2007,エムブリオマシンRPG,Embryo Machine RPG,Jive,embryo-machine.jpg,rulebook
2007,マシン・マーセナリー―Replay:エムブリオマシンRPG,Machine Mercenary,Jive,replay1.jpg,replay
2008,御前試合―Expansion:エムブリオマシンRPG,Gozen Match Expansion: Embryo Machine RPG,Jive,gozen-match-expansion.jpg,supplement
2008,密林戦線 Expansion:エムブリオマシンRPG,Dense Forest Front Expansion: Embryo Machine RPG,Jive,dense-forest-front-expansion.jpg,supplement
2008,ノースランズ・メモリー―Replay:エムブリオマシンRPG,Northlands Memory,Jive,replay2.jpg,replay
2008,ブラッド・ミュージック―Replay:エムブリオマシンRPG,Blood Music,Jive,replay3.jpg,replay
2008,聖女のちょっとした受難―Replay:エムブリオマシンRPG,A Little Bit of the Saint's Suffering,Jive,saints_suffering.jpg,replay
2008,聖戦のちょっとした回避―Replay:エムブリオマシンRPG,A Little Evasion of the Holy War,Jive,holy_war.jpg,replay
2009,練兵都市―Expansion:エムブリオマシンRPG,Training City-Expansion: Embryo Machine RPG,Jive,training-city-expansion.jpg,supplement
2009,聖都のちょっとした終末―Replay:エムブリオマシンRPG,A Little End of the Holy City,Jive,holy_city.jpg,replay
2009,颯爽!デザートナイツ―Replay:エムブリオマシンRPG,Dashing! Desert Nights,Jive,desert_nights.jpg,replay
2009,颯爽!デザートナイツ〈2〉Replay:エムブリオマシンRPG,Dashing! Desert Nights 2,Jive,desert_nights_2.jpg,replay
2009,Quick Battle Kit Expansion:エムブリオマシンRPG,Quick Battle Kit Expansion,Jive,quick_battle_kit.jpg,supplement
2010,颯爽!デザートナイツIII,Dashing! Desert Nights 3,Jive,desert_nights_3.jpg,replay
