year,japanese,english,publisher,image,product_type
1986,スーパーマリオブラザーズ マリオを救え!,Super Mario Bros. Save Mario!,Futabasha,super-mario-bros.jpg,gamebook
1987,スーパーマリオブラザーズ Vol.2 大魔王ネオクッパの挑戦,Super Mario Bros. Vol.2 Challenge of the Great Demon King Neo Kuppa,Futabasha,super-mario-bros2.jpg,gamebook
1987,スーパーマリオブラザーズ Vol.3 マリオ軍団出撃,Super Mario Bros. Vol.3 Mario Corps Sortie ,Futabasha,super-mario-bros3.jpg,gamebook
1991,スーパーマリオワールド 恐竜ランド編,Super Mario World Dinosaur Land Edition,Futabasha,super-mario-world.jpg,gamebook
1986,ゼルダの伝説 蜃気楼城の戦い ,The Legend of Zelda: Battle of Mirage Castle,Futabasha,legend-of-zelda.jpg,gamebook
1987,リンクの冒険 魔界からの逆襲 ,Link's Adventure Counterattack from the Makai,Futabasha,legend-of-zelda2.jpg,gamebook
1992,ゼルダの伝説 神々のトライフォース,The Legend of Zelda The Tri-force of the Gods,Futabasha,legend-of-zelda3.jpg,gamebook
1986,ドラゴンクエスト 蘇る英雄伝説 （,Dragon Quest The Legend of Heroes Revived,Futabasha,dragon-quest.jpg,gamebook
1987,ドラゴンクエストII 悪霊の神々上,Dragon Quest II Evil Spirit Gods Part I,Futabasha,dragon-quest2a.jpg,gamebook
1987,ドラゴンクエストII 悪霊の神々下,Dragon Quest II Evil Spirit Gods Part II,Futabasha,dragon-quest2b.jpg,gamebook
1986,グラディウス 未知との戦い ,Battle with the Unknown Gradius,Futabasha,gradius.jpg,gamebook
1986,謎の村雨城 不思議時代の旅,The Mysterious Murasame Castle Mysterious Age Trip,Futabasha,murasame-castle.jpg,gamebook
1987,悪魔城ドラキュラ 古城の死闘 ,Castlevania Dracula Castlevania Death Fight,Futabasha,castlevania.jpg,gamebook
1990,悪魔城伝説 真正バンパイアハンター,Castlevania legend authenticity Vampire Hunter,Futabasha,castlevania2.jpg,gamebook
1987,高橋名人の冒険島 ティナを救い出せ! ,Rescue Takahashi Master's Adventure Island Tina!,Futabasha,takahashi-master.jpg,gamebook
1987,高橋名人のBugってハニー ゲーム世界危機一髪 ,Takahashi Meijin's Bug is a Honey Game World Crisis Close Call,Futabasha,takahashi-master2.jpg,gamebook
1987,ファンタジーゾーン 異星からの侵略者,Fantasy Zone Invaders from aliens,Futabasha,fantasy-zone.jpg,gamebook
1989,ファンタジーゾーン2 異星への旅立ち,Fantasy Zone 2 Departure to an alien planet,Futabasha,fantasy-zone2.jpg,gamebook
1987,ヘラクレスの栄光 若き勇者の伝説,Glory of Heracles The Legend of the Legend of the Young Hero,Futabasha,hercules.jpg,gamebook
1989,ヘラクレスの栄光II 新たなる勇者,Glory of Heracles II New Hero,Futabasha,hercules2.jpeg,gamebook
1987,桃太郎伝説 愛と勇気のオニ退治,Momotaro Densetsu Exterminate Oni of Love and Courage,Futabasha,peachboy.jpg,gamebook
1988,桃太郎電鉄 めざせ!大社長,Momotaro Dentetsu Aim! President,Futabasha,peachboy2.jpg,gamebook
1989,桃太郎電光石火 00モモ危機一髪,Momotaro Lightning Stone Fire 00 Peach Close Call,Futabasha,peachboy3.jpg,gamebook
1990,桃太郎伝説スペシャル 雪の女王に挑戦!,Momotaro Densetsu Special Challenge the Snow Queen!,Futabasha,peachboy4.jpg,gamebook
1990,桃太郎活劇 エンマ大王の逆襲,Momotaro swashbuckler Emma the Great's counterattack,Futabasha,peachboy5.jpg,gamebook
1990,桃太郎伝説II 地獄王現る!,Momotaro Densetsu II Hell King Appears!,Futabasha,peachboy6.jpg,gamebook
1987,がんばれゴエモン!からくり道中 東海道五十三景,Good luck Goemon! Karakuri Road Fifty-three Views of the Middle Tokaido,Futabasha,goemon.jpg,gamebook
1990,がんばれゴエモン外伝 一攫千金宝船,Good luck Goemon Gaiden Ichigo Senkin Treasure Ship,Futabasha,goemon2.jpg,gamebook
1991,がんばれゴエモン ゆき姫救出絵巻,Good luck Goemon Yukihime rescue picture scroll,Futabasha,goemon3.jpg,gamebook
1987,ウルティマ 魔道士ゾールの陰謀,Ultima Mage Zor's Conspiracy,Futabasha,ultima.jpg,gamebook
1990,ウルティマVol.2 聖者への道,Ultima Vol.2 Road to the Saints,Futabasha,ultima2.jpg,gamebook
1987,少年魔術師インディ マジカルインフェルノ,Boy Magician Indy Magical Inferno,Futabasha,boy-wizard-indy.jpg,gamebook
1988,少年魔術師インディ2 禁断の魔力,Boy Wizard Indy 2 Forbidden Magical Power,Futabasha,boy-wizard-indy2.jpg,gamebook
1989,少年魔術師インディ3 異境の呪術師,Boy Wizard Indy 3 Foreign Wizard,Futabasha,boy-wizard-indy3.jpg,gamebook
1987,メトロイド ゼーベス侵入指令 ,Metroid Zebes Invasion Directive,Futabasha,metroid.jpg,gamebook
1987,ポートピア連続殺人事件 密室殺人の謎 ,Portopia Serial Murder Case The Mystery of Locked Room Murder,Futabasha,portopia.jpg,gamebook
1987,ミシシッピー殺人事件 リバーボートの冒険 ,Murder on the Mississippi Riverboat Adventure,Futabasha,murder-on-the-mississippi-riverboat.jpg,gamebook
1987,光神話 パルテナの鏡 神殿の悪魔を倒せ! ,Kid Icarus Defeat the Devil in the Mirror Temple of Partena!,Futabasha,kid-icarus.jpg,gamebook
1987,所さんのまもるもせめるも アクアク大冒険 ,Tokoro-san's Mamoru Mosememo Akuaku Adventure,Futabasha,tokoro-san.jpg,gamebook
1987,さんまの名探偵 桂文珍殺人事件,Sanma's Detective Bunchin Katsura Murder Case,Futabasha,sanmas-detective.jpg,gamebook
1987,ポケットザウルス 恐竜島漂流記（ハーティアイランドアドベンチャー）,Pocket Saurus Dinosaur Island Drifting Record,Futabasha,pocket-saurus.jpg,gamebook
1987,月風魔伝 魔暦元年の戦い,Getsu Fuma Den: Battle of the First Year of the Magic Calendar ,Futabasha,getu-fuma-den.jpg,gamebook
1987,熱血硬派くにおくん 番長連合をぶっとばせ!,Let's get rid of the Renegade Kunio-kun Bancho Union!,Futabasha,renegade-kunio-kun.jpg,gamebook
1987,アルゴスの戦士 解かれたる封印 ,Argos Warrior Unsealed Seal,Futabasha,argos-warrior.jpg,gamebook
1987,未来神話ジャーヴァス 救世主（メシア）の章 - 新世紀を救え! ,Future Myth Jarvas Chapter of the Messiah-Save the New Century!,Futabasha,future-myth-jarvas-chapter.jpg,gamebook
1987,ボンバーキング アルタイル最終戦争,Bomber King Altair Final War,Futabasha,bomber-king.jpg,gamebook
1987,ヴァイケルの魔城 トツゲキ魔界探検隊 ,Weiker's Magic Castle Totsugeki Makai Expedition,Futabasha,weikers-magic-castle.jpg,gamebook
1987,新・鬼が島 暗黒の化身を討て!,A new demon defeats the incarnation of the island darkness!,Futabasha,a-new-demon.jpg,gamebook
1987,ファザナドゥ ドラゴンの牙,Faxanadu Dragon Fang,Futabasha,faxanadu.jpg,gamebook
1988,プロ野球ファミリースタジアム ナムコスターズの挑戦,Pro Baseball Family Stadium Namco Stars Challenge,Futabasha,family-stadium.jpg,gamebook
1989,プロ野球ファミリースタジアムVol.2 風雲オールスター戦,Professional Baseball Family Stadium Vol.2 Fengyun All-Star Game,Futabasha,family-stadium2.jpeg,gamebook
1989,プロ野球ファミリースタジアムVol.3 WE ARE THE CHAMPION!,Professional Baseball Family Stadium Vol.3 WE ARE THE CHAMPION!,Futabasha,family-stadium3.jpg,gamebook
1990,ファミスタ'90 WE ARE THE WORLD!,Family Stadium '90 WE ARE THE WORLD!,Futabasha,family-stadium4.jpg,gamebook
1990,ファミスタ 虹の逆転アーチ,Family Stadium Rainbow Reversal Arch,Futabasha,family-stadium5.jpg,gamebook
1988,ウィザードリィ 魔術師ワードナの野望,Wizardry Wizardry Wardna's Ambition,Futabasha,wizardry.jpg,gamebook
1989,ウィザードリィII ル・ケブレスの魔窟,Wizardry II Le Kebres's Cave,Futabasha,wizardry2.jpg,gamebook
1990,ウィザードリィIII ダイヤモンドの騎士,Wizardry III Diamond Knight,Futabasha,wizardry3.jpg,gamebook
1991,ウィザードリィ・外伝I 女王の受難,Wizardry Gaiden I Queen's suffering,Futabasha,wizardry4.jpg,gamebook
1988,ファミコン探偵倶楽部 消えた後継者,Famicom Tantei Club disappeared successor,Futabasha,tantei-club.jpg,gamebook
1989,ファミコン探偵倶楽部PARTII うしろに立つ少女,Famicom Tantei Club PARTII Girl standing behind,Futabasha,tantei-club2.jpg,gamebook
1988,イース 戦慄の魔塔,Ys Dreadful Demon Tower,Futabasha,ys.jpg,gamebook
1990,イースII 魔王復活,Ys II Demon King Revival,Futabasha,ys2.jpg,gamebook
1991,イースIII 伝説の魔王,Ys III Legendary Demon King,Futabasha,ys3.jpg,gamebook
1988,ファイナルファンタジー 勇者に光あれ!,FINAL FANTASY Light up the brave!,Futabasha,final-fantasy.jpg,gamebook
1989,ファイナルファンタジーII 秘宝のドラゴン,FINAL FANTASY II Hidden Dragon,Futabasha,final-fantasy2.jpg,gamebook
1988,ビックリマン 無縁ゾーンの秘宝,Bikkuriman Unrelated Zone Hallows,Futabasha,surprise-man.jpg,gamebook
1989,ビックリマン2　天聖門を開けろ！,Surprise Man 2 Open the Tensei Gate!,Futabasha,surprise-man2.jpg,gamebook
1988,魔神英雄伝ワタル 異次元の救世主,"Mashin Hero Wataru, a savior of another dimension",Futabasha,hero-wataru.jpg,gamebook
1990,魔神英雄伝ワタル外伝 救世主再び!!,Genie Hero Den Wataru Gaiden Savior Again !!,Futabasha,hero-wataru2.jpg,gamebook
1988,学園妖怪バスターズ 天魔が来た！,Gakuen Yokai Busters Tenma is here!,Futabasha,gakuen-yokai-busters.jpg,gamebook
1988,学園妖怪バスターズ2 大天空丸を救え！,Gakuen Yo-Kai Busters 2 Save the Great Sky Maru!,Futabasha,gakuen-yokai-busters2.jpg,gamebook
1989,学園妖怪バスターズ3 ジャングル魔王の恋,Gakuen Yokai Busters 3 Jungle Demon King's Love,Futabasha,gakuen-yokai-busters3.jpg,gamebook
1988,魔界横断ドラゴンラリー 栄光への戦い,Cross-Makai Dragon Rally Battle for Glory,Futabasha,dragon-rally.jpg,gamebook
1989,ドラゴンラリー2 魔界大陸の逆襲,Dragon Rally 2 Counterattack on the Makai Continent,Futabasha,dragon-rally2.jpg,gamebook
1988,次元からくり漂流記 タイムマシン冒険号発進,Dimensional Karakuri Drifting Record Time Machine Adventure Issue Launched,Futabasha,dimensional-karakuri.jpg,gamebook
1989,次元からくり漂流記2 ヤマタイ王国を救え！,Dimensional Karakuri Drifting Record 2 Save the Kingdom of Yamatai!,Futabasha,dimensional-karakuri2.jpg,gamebook
1988,地層階級王国I まほろばの壁を越えて ,Strata Class Kingdom I Beyond the Mahoroba Wall,Futabasha,kingdom1.jpg,gamebook
1988,幻のドラゴン伝説 地層階級王国II ,Phantom Dragon Legend Geoclass Kingdom II,Futabasha,kingdom2.jpg,gamebook
1988,終末の惑星 遥かなる西の帝国,The Planet of the End The Far West Empire,Futabasha,planet-of-the-end.jpg,gamebook
1988,天空の魔王 地球防衛少女イコちゃん ,Demon King of the Sky Earth Defense Girl Iko-chan,Futabasha,earth-defense-girl-ikochan.jpg,gamebook
1988,オホーツクに消ゆ,Disappearance in Okhotsk,Futabasha,disappearance-in-okhotsk.jpg,gamebook
1988,覇邪の封印 バァンドゥラの魔獣,Miracle Warriors Bandura's Demon Beast,Futabasha,miracle-warriors.jpg,gamebook
1988,銀河の三人復活のヴィザーン,Three People of the Galaxy Resurrection of Vizan,Futabasha,three-people-of-the-galaxy.jpg,gamebook
1988,邪聖剣ネクロマンサー イシュメリアの悪夢,Jaseiken Necromancer Nightmare of Ishmeria,Futabasha,jaseiken-necromancer.jpg,gamebook
1988,超時空パイレーツ おみそれ3人組の冒険,Super Space Time Pirates,Futabasha,space_time_pirates.jpeg,gamebook
