year,japanese,english,publisher,image
1986,モンスター・コレクション,Monster Collection,Fujimi Shobo,monster_collection.jpg
1987,D&Dがよくわかる本,D&D Understand Well Book,Fujimi Shobo,dnd_yoku_wakaru.jpg
1987,ホラー・コレクション,Horror Collection,Fujimi Shobo,horror_collection.jpg
1988,スペル・コレクション,Spell Collection,Fujimi Shobo,spell_collection.jpg
1988,アイテム・コレクション,Item Collection,Fujimi Shobo,item_collection.jpg
1989,ファンタジーRPGクイズ,Fantasy RPG Quiz,Fujimi Shobo,fantasy_rpg_quiz.jpg
1989,クロちゃんのRPG千夜一夜〈1〉,Kuro's RPG: 1001 Nights 1,Fujimi Shobo,kuros_rpg_1001_nights_1.jpg
1989,クロちゃんのRPG見聞録,Kuro's RPG: Kenbunroku,Fujimi Shobo,kuros_rpg_kenbunroku.jpg
1989,トラップ・コレクション,Trap Collection,Fujimi Shobo,trap_collection.jpg
1990,クロちゃんのRPG千夜一夜〈2〉,Kuro's RPG: 1001 Nights 2,Fujimi Shobo,kuros_rpg_1001_nights_2.jpg
1991,クロちゃんのRPG千夜一夜〈3〉,Kuro's RPG: 1001 Nights 3,Fujimi Shobo,kuros_rpg_1001_nights_3.jpg
1991,キャラクター・コレクション(上),Character Collection 1,Fujimi Shobo,character_collection_up.jpg
1991,キャラクター・コレクション(下),Character Collection 2,Fujimi Shobo,character_collection_down.jpg
1992,やっぱりRPGが好き！,I Really Like RPGs,Fujimi Shobo,i_really_like_rpgs.jpg
1992,ファンタジーRPG100の常識,100 Common Sense Fantasy RPG Practices,Fujimi Shobo,100_common_sense.jpg
1992,ワースブレイドがよくわかる本,Wares Blade Understand Well Book,Fujimi Shobo,wares_blade_yoku_wakaru.jpg
1993,それでもRPGが好き! ,But I Still Like RPGs,Fujimi Shobo,but_i_still_like_rpgs.jpg
1993,ダンジョン・シネマティーク,Dungeon Cinematic,Fujimi Shobo,dungeon_cinematic.jpg
1993,実践！RPGゲームマスター道,Pratice! The RPG Gamemaster Way,Fujimi Shobo,practice_rpg_gamemaster_way.jpg
1993,ファンタジーRPGクイズ2,Fantasy RPG Quiz 2,Fujimi Shobo,fantasy_rpg_quiz_2.jpg
1993,ファンタジーRPGクイズ3,Fantasy RPG Quiz 3,Fujimi Shobo,fantasy_rpg_quiz_3.jpg
1993,クロちゃんのRPG千夜一夜〈4〉,Kuro's RPG: 1001 Nights 4,Fujimi Shobo,kuros_rpg_1001_nights_4.jpg
1993,シティ・コレクション(上),City Collection 1,Fujimi Shobo,city_collection_up.jpg
1993,シティ・コレクション(下),City Collection 2,Fujimi Shobo,city_collection_down.jpg
1993,ブルーフォレスト物語がよくわかる本,Blue Forest Story Understand Well Book,Fujimi Shobo,blue_forest_story_yoku_wakaru.jpg
1993,バトルテックがよくわかる本,Battletech Understand Well Book,Fujimi Shobo,battletech_yoku_wakaru.jpg
1994,ファンタジーRPGクイズ4,Fantasy RPG Quiz 4,Fujimi Shobo,fantasy_rpg_quiz_4.jpg
1994,ファンタジーRPG100の常識 (アイテム編),100 Coomon Sense Fantasy RPG Practices (Items Edition),Fujimi Shobo,100_common_sense_items.jpg
1994,シャドウランがよくわかる本,Shadowrun Understand Well Book,Fujimi Shobo,shadowrun_yoku_wakaru.jpg
1994,ファンタジーRPGの宝物が100!,100 Fantasy RPG Treasures!,Fujimi Shobo,100_fantasy_rpg_treasures.jpg
1995,女の子だってRPGしたいんだもん,Girls Want to Play RPGs Too,Fujimi Shobo,girls_want_to_play_rpgs_too.jpg
1995,RPGマスターらくらく読本,RPG Master Easy Reader,Fujimi Shobo,rpg_master_easy_reader.jpg
1995,ゲームのタネ,Game Seeds,Fujimi Shobo,game_seeds.jpg
1995,TOKYO EYE‐SHOT シャドウランシティファイル,Tokyo Eye Shot: Shadowrun City File,Fujimi Shobo,shadowrun_tokyo_eye_shot.jpg
1996,モンスター・コレクション改訂版〈下〉,Monster Coillection 3,Fujimi Shobo,monster_collection_down.jpg
1996,モンスター・コレクション〈上〉,Monster Collection 1,Fujimi Shobo,monster_collection_up.jpg
1996,モンスター・コレクション 改訂版〈中〉,Monster Collection 2,Fujimi Shobo,monster_collection_middle.jpg
1997,RPG用誤辞典,RPG Mistake Dictionary ,Fujimi Shobo,mistake_dictionary_for_rpg.jpg
