,year,japanese,english,publisher,image
1,1984,火吹山の魔法使い,The Warlock of Firetop Mountain[1,社会思想社,01.jpg
2,1985,バルサスの要塞,The Citadel of Chaos,社会思想社,02.jpg
3,1985,運命の森,The Forest of Doom,社会思想社,03.jpg
4,1985,さまよえる宇宙船,Starship Traveller,社会思想社,04.jpg
5,1985,盗賊都市,City of Thieves,社会思想社,05.jpg
6,1985,死のワナの地下迷宮,Deathtrap Dungeon,社会思想社,06.jpg
7,`,トカゲ王の島,Island of the Lizard King,社会思想社,07.jpg
8,1986,サソリ沼の迷路,Scorpion Swamp,社会思想社,08.jpg
9,1986,雪の魔女の洞窟,Caverns of the Snow Witch,社会思想社,09.jpg
10,1986,地獄の館,House of Hell,社会思想社,10.jpg
11,1986,死神の首飾り,Talisman of Death,社会思想社,11.jpg
12,1986,宇宙の暗殺者,Space Assassin,社会思想社,12.jpg
13,1986,フリーウェイの戦,Freeway Fighter,社会思想社,13.jpg
14,1987,恐怖の神殿,Temple of Terror,社会思想社,14.jpg
15,1987,宇宙の連邦捜査官,The Rings of Kether,社会思想社,15.jpg
16,1987,海賊船バンシー号,Seas of Blood,社会思想社,16.jpg
17,1987,サイボーグを倒せ,Appointment with F.E.A.R.,社会思想社,17.jpg
18,1987,電脳破壊作戦,Rebel Planet,社会思想社,18.jpg
19,1987,深海の悪魔,Demons of the Deep,社会思想社,19.jpg
20,1987,サムライの剣,Sword of the Samurai,社会思想社,20.jpg
21,1987,迷宮探険競技,Trial of Champions,社会思想社,21.jpg
22,1987,ロボット コマンドゥ,Robot Commando,社会思想社,22.jpg
23,1987,仮面の破壊者,Masks of Mayhem,社会思想社,23.jpg
24,1988,モンスター誕生,Creature of Havoc,社会思想社,24.jpg
25,1988,ナイトメアキャッスル,Beneath Nightmare Castle,社会思想社,25.jpg
26,1988,甦る妖術使い,Crypt of the Sorcerer,社会思想社,26.jpg
27,1988,スターストライダー,Star Strider,社会思想社,27.jpg
28,1989,恐怖の幻影,Phantoms of Fear,社会思想社,28.jpg
29,1989,真夜中の盗賊,Midnight Rogue,社会思想社,29.jpg
30,1989,悪霊の洞窟,Chasms of Malice,社会思想社,30.jpg
31,1989,最後の戦士,Battleblade Warrior,社会思想社,31.jpg
32,1990,奈落の帝王,Slaves of the Abyss,社会思想社,32.jpg
33,1991,天空要塞アーロック,Sky Lord,社会思想社,33.jpg
