year,japanese,english,publisher,image,product_type,
1985,パックス砦の囚人,Prisoners of Pax Tharkas,Fujimi Shobo,prisoners_of_pax_tharkas1.jpg,gamebook,1-1
1985,パックス砦の囚人,Prisoners of Pax Tharkas,Fujimi Shobo,prisoners_of_pax_tharkas2.jpg,gamebook,1-1
1986,ゴーストタワーの魂の石,The Ghost Tower,Fujimi Shobo,the_ghost_tower1.jpg,gamebook,1-2
1986,ゴーストタワーの魂の石,The Ghost Tower,Fujimi Shobo,the_ghost_tower2.png,gamebook,1-2
1986,クォーラス城からの脱出,Escape from Castle Quarras,Fujimi Shobo,escape_from_castle_quarras.jpg,gamebook,1-3
1986,ウェイレスの大魔術師,The Soulforge,Fujimi Shobo,the_soulforge.jpg,gamebook,1-4
1986,忍者への道,Test of the Ninja,Fujimi Shobo,test_of_the_ninja.jpg,gamebook,1-5
1986,暗黒城の領主,Master of Ravenloft,Fujimi Shobo,master_of_ravenloft.jpg,gamebook,1-6
1987,魔法の王国1 魔力の杖,Sceptre of Power,Fujimi Shobo,sceptre_of_power.jpg,gamebook,1-7
1987,ババ・ヤーガの悪夢の王国,Nightmare Realm of Baba Yaga,Fujimi Shobo,nightmare_realm_of_baba_yaga.jpg,gamebook,1-8
1987,魔法の王国2 魔術師の宝冠,The Sorcerer's Crown,Fujimi Shobo,the_sorcerers_crown.jpg,gamebook,1-9
1987,ドラゴンランス・アドベンチャー 奪われた竜の,Lords of Doom,Fujimi Shobo,lords_of_doom.jpg,gamebook,1-10
1987,魔法の王国3 魔域の対決,Clash of the Sorcerers,Fujimi Shobo,clash_of_the_sorcerers.jpg,gamebook,1-11
1986,アルカニア城の決闘,Castle Arcania,Fujimi Shobo,castle_arcania.jpg,slipcase set,
1987,超古代ロボットを探せ ,Battle for the Ancient Robot,Fujimi Shobo,battle_for_ancient_robot.jpg,slipcase set,
1987,レッド・ドラゴンの逆襲,Revenge of the Red Dragon,Fujimi Shobo,revenge_of_red_dragon.jpg,slipcase set,
1988,ブラッド・ソード〈シナリオ1〉勝利の紋章を奪え!,The Battlepits of Krath,Fujimi Shobo,blood_sword1.jpg,gamebook,2-1
1988,ブラッド・ソード〈シナリオ2〉魔術王をたおせ!,The Kingdom of Wyrd,Fujimi Shobo,blood_sword2.jpg,gamebook,2-2
1989,ブラッド・ソード〈シナリオ3〉悪魔の爪を折れ!,The Demon's Claw,Fujimi Shobo,blood_sword3.jpg,gamebook,2-3
1989,ブラッド・ソード〈シナリオ4〉死者の国から還れ!,Doomwalk,Fujimi Shobo,blood_sword4.jpg,gamebook,2-4
1989,ムーンシェイ・サーガ〈1〉魔獣よみがえる,Moonshae Saga 1: Revive the Beast,Fujimi Shobo,moonshae1.jpg,gamebook,3-1
1989,ムーンシェイ・サーガ〈2〉竪琴と一角獣,Moonshae Saga 2: Lyre and Unicorn,Fujimi Shobo,moonshae2.jpg,gamebook,3-2
1989,ムーンシェイ・サーガ〈3〉七人の黒魔術師,Moonshae Saga 3: Seven Black Magicians,Fujimi Shobo,moonshae3.jpg,gamebook,3-3
1989,ムーンシェイ・サーガ〈4〉死せる王妃の預言,Moonshae Saga 4: The Prophecy of the Dead Queen,Fujimi Shobo,moonshae4.jpg,gamebook,3-4
1990,ムーンシェイ・サーガ〈5〉猫の爪・豹の牙,"Moonshae Saga 5: Cat's Claws, Panther's Fangs",Fujimi Shobo,moonshae5.jpg,gamebook,3-5
1990,ムーンシェイ・サーガ〈6〉暗黒の解放,Moonshae Saga 6: The Release of Darkness,Fujimi Shobo,moonshae6.jpg,gamebook,3-6
1986,魔境遊撃隊―ナイルの呼び声,Magic Brigade: Call of the Nile,Fujimi Shobo,call-of-the-nile.jpg,gamebook,8-1
1986,鷹の探索,Quest of the Falcon,Fujimi Shobo,quest_of_the_falcon.jpg,gamebook,8-2
1986,エルドラード 闇の黄金郷,El Dorado: The Golden Town of Darkness,Fujimi Shobo,eldorado.jpg,gamebook,8-3
1987,ダーティペア―ヴァッサーインゼルの大追跡,Dirty Pair: Great Track of Wasser Insel,Fujimi Shobo,dirty-pair-vasser-insel-great-track.jpg,gamebook,8-4
1990,ウィザーズ・クエスト,Wizard's Quest,Fujimi Shobo,wizards_quest.jpg,gamebook,8-6
1987,戦え！！イクサー１ クトゥルフの逆襲,Fight! Ixar-1: Cthulhu's Counterattack,Fujimi Shobo,ixar_1.jpg,gamebook,
1989,魔術師の挑戦 デュエル・マスター,Magician's Challenge: Duel Master,Fujimi Shobo,magicians-challenge.jpg,slipcase set,3-1
1991,地下迷宮ゴルギアス メイズ・ファイト！①,Underground Labyrinth: Gorgias Maze Fight,Fujimi Shobo,underground-labyrinth-gorgias.jpg,gamebook,
1986,魔人の沼,Monsters of the Marsh,Fujimi Shobo,legends-of-skyfall1.jpg,gamebook,9-1
1986,黒いピラミッドの謎,The Black Pyramid,Fujimi Shobo,legends-of-skyfall2.jpg,gamebook,9-2
1986,呪われた鉱山,Mine of Torments,Fujimi Shobo,legends-of-skyfall3.jpg,gamebook,9-3
1987,魔宮の人喰い植物,The Garden of Madness,Fujimi Shobo,legends-of-skyfall4.jpg,gamebook,9-4
