year,japanese,english,publisher,image,product_type
2003,ゲヘナ,Gehenna,Jive,gehenna.jpg,rulebook
2004,煉獄彷徨,Purgatory Wandering,Jive,supplement1.jpg,supplement
2004,人魔饗宴,Feast of People,Jive,supplement2.jpg,supplement
2004,シェヘラザート・テイルズ,Scheherazade Tales,Jive,replay1.jpg,replay
2005,シェヘラザート・テイルズ 2,Scheherazade Tales 2,Jive,replay2.jpg,replay
2005,弓と笛と放浪者たち,"Bows, Whistles, and Wanderers",Jive,replay3.jpg,replay
2005,罠と幻と放浪者たち,"Traps, Illusions, and Wanderers",Jive,replay4.jpg,replay
2006,王女と獄と放浪者たち,"Princesses, Prisons, and Wanderers",Jive,replay5.jpg,replay
2006,ゲヘナ―アナスタシス,Gehenna: Anastasis,Jive,anastasis.jpg,rulebook
2006,魔星降臨,Demon Advent,Jive,demon_advent.jpg,supplement
2007,獄王顕現,Revelation of the Prison King,Jive,prison_king.jpg,supplement
2008,幻洋綺譚,Beautiful Story of the Foreign Vision,Jive,beautiful_story.jpg,supplement
2006,瓦礫の都市の煌,Glitter of the City of Rubble,Jive,glitter.jpg,replay
2006,雨呼ぶ街と煌少女,The city that calls the rain and the glittering girl,Jive,city_that_calls.jpg,replay
2007,黒鏡の獄の煌,Glitter of the prison of the black mirror,Jive,black_mirror.jpg,replay
2007,血の妖石は宿命の道標,Bloody monster stone is a signpost of fate,Jive,signpost_of_fate.jpg,replay
2007,時の渦動は運命の扉,The whirlpool of time is the door of fate,Jive,whirlpool_of_time.jpg,replay
2008,銀糸の迷宮は運命の賭け,The Labyrinth of Silver Thread is a bet of fate,Jive,labyrinth_of_silver_thread.jpg,replay
2008,逆撃の獄は宿命の終局,The prison of counterattack is the end of fate,Jive,prison_of_counterattack.jpg,replay
2009,ミラージュオーシャン・ログブック,Mirage Ocean Logbook,Jive,mirage_ocean.jpg,replay
2010,ミラージュオーシャン・ログブック2,Mirage Ocean Logbook 2,Jive,mirage_ocean2.jpg,replay
2010,常夏の島に刃が踊る,The blade dances on the island of everlasting summer,Jive,everlasting_summer.jpg,replay
