year,japanese,english,publisher,image,product_type
2013,グランクレストRPGルールブック 1,Grancrest RPG Rulebook 1,Kadokawa,gran-crest.jpg,rulebook
2013,ライブ・ファンタジア 天災魔法師と竜を駆る姫君,"Live Fantasia: A Natural Disaster Magician, and a Princess Driving a Dragon",Kadokawa,live_fantasia.jpg,replay
2013,グランクレストスタートブック 1,Granrest Start Book 1,Fujimi Shobo,start_book.jpg,rulebook
2014,グランクレストRPGルールブック 2,Grancest RPG Rulebook 2,Kadokawa,rulebook2.jpg,rulebook
2014,グランクレストRPG データブック アドバンスフォース,Grancrest RPG Data Book Advanced Force,Kadokawa,advanced_force.jpg,supplement
2014,ライブ・ファクトリー ニートな君主の竜退治,Live Factory: Neat Monarch Dragon Extermination,Kadokawa,live_factory.jpg,replay
2014,ライブ・ファクトリー (2) ぼっちな君主の新世界,Live Factory 2: The New World of the Bocchi Monarch,Kadokawa,live_factory2.jpg,replay
2014,ファンタジア×ファクトリー (上) 決戦のプレリュード,Fantasia x Factory Vol 1: Prelude of the Decisive Battle,Kadokawa,fantasia_factory.jpg,replay
2014,ファンタジア×ファクトリー (下) 激突のバトルフィールド,Fantasia x Factory Vol. 2: Clash Battlefield,Kadokawa,fantasia_factory2.jpg,replay
2014,ファルドリア戦狼記狼たちの初陣,Faldoria Warrior Diploma: The First Team of Wolves,Kadokawa,faldoria_warrior_diploma.jpg,replay
2014,ファルドリア戦狼記 2狼たちの戦旗 ,Faldoria Warrior Diploma 2: Warrior Flags of the Wolves,Kadokawa,faldoria_warrior_diploma2.jpg,replay
2014,ファルドリア戦狼記 (3) 狼たちの栄光,Faldoria Warrior Diploma 3: Glory of the Wolves,Kadokawa,faldoria_warrior_diploma3.jpg,replay
2014,グランクレストRPG キャンペーンブック 宵闇の魔神,Grancrest RPG Campaign Book Evening Dark Genie,Kadokawa,evening_dark_genie.jpg,supplement
2015,グランクレストRPG サプリメント 上級ルールブック,Grancrest RPG Supplement Advanced Rulebook,Kadokawa,advanced_rulebook.jpg,rulebook
2015,グランクレスト戦記データブック,Record of Grancrest War Data Book,Kadokawa,war_data_book.jpg,supplement
2015,ライブ・ファンタジア (2) 始まりの聖女と決意の姫君,Live Fantasia 2: The Beginning Saint and the Princess of Determination,Kadokawa,live_fantasia2.jpg,replay
2015,ファンタジア×ファクトリー 結 百花繚乱のフィナーレ,Fantasia x Factory: Yui Hundred Flowers Ryoran Finale,Kadokawa,fantasia_factory_yui.jpg,replay
2015,ノートリアス 霧覆う魔境の島,Notorious Island of the Devil's Border Covering the Fog,Kadokawa,notorious_island.jpg,replay
2015,かけだし君主の魔王修業（1）,Kakedashi Monarch's Demon King Training 1,Kadokawa,demon_training.jpg,replay
2015,かけだし君主の魔王修業 (2),Kakedashi Monarch's Demon King Training 2,Kadokawa,demon_training2.jpg,replay
