year,japanese,english,publisher,image,product_type
2004,ガンドッグ,Gundog,Shinkigensha,gundog.jpg,rulebook
2005,ガンドッグ・サプリメント〈01〉ワイルドライフ,Wildlife,Shinkigensha,wildlife.jpg,supplement
2005,ガンドッグ・サプリメント〈02〉バリアント,Variant,Shinkigensha,variant.jpg,supplement
2007,ガンドッグ・サプリメント2.5　エマージェンシー,Emergency,Arclight,emergency.jpeg,supplement
2007,ガンドッグ・サプリメント03 スタンピード!,Stampede!!,Shinkigensha,stampede.jpg,supplement
2005,ガンドッグ・リプレイ ストレイ・ドッグ,Stray Dog,Jive,replay.jpg,replay
2006,ガンドッグ・リプレイ マリオネット・ネメシス,Marionette Nemesis,Shinkigensha,marionette_nemesis.jpg,replay
2008,ガンアクションTRPG ガンドッグゼロ,Gun Action RPG Gundog Zero,Shinkigensha,gundog_zero.jpg,rulebook
2009,ガンドッグゼロ サプリメント バイト・ザ・バレット,Bit the Bullet,Shinkigensha,bite_the_bullet.jpg,supplement
2014,ガンアクションTRPG ガンドッグ・リヴァイズド,Gundog Zero Revised,Shinkigensha,gundog_zero_revised.jpg,rulebook
2016,ガンドッグ・リヴァイズド サプリメント バイト・ザ・バレット リヴァイズド,Bite the Bullet Revised,Shinkigensha,bite_the_bullet_revised.jpg,supplement
2009,ガンドッグゼロ リプレイ アゲインスト・ジェノサイド,Against Genocide,Shinkigensha,against_genocide.jpg,replay
2010,ガンドッグゼロ・リプレイ ハーフ・ボイルド・ディテクティブ,Half Boiled Detective,Arclight,half_boiled_detective.jpg,replay
2012,ガンドッグゼロリプレイ ハイ・スクール、ダイ・ハード ,"High School, Die Hard",Shinkigensha,high_school_die_hard.jpg,replay
2016,ガンドッグ・リヴァイズド リプレイ 雪風水滸伝 死闘篇,Snow Feng Shui Koden Death Fight Hen,Shinkigensha,feng_shui.jpg,replay
2016,ガンドッグ・リヴァイズド リプレイ 雪風水滸伝 覇道篇,Snow Feng Shui Den Hado Hen,Shinkigensha,feng_shui2.jpg,replay
