year,japanese,english,publisher,image,product_type
1999,ガープス・ベーシック完訳版,GURPS Basic-General Purpose RPG Rulebook,Fujimi Shobo,3rd-ed.jpg,rulebook
1999,ガープス・ルナル 完全版,GURPS Runal Perfect Edition,Fujimi Shobo,runal-perfect.jpg,supplement
2000,ガープス・ドラゴンマーク,GURPS Dragon Merc,Fujimi Shobo,dragon-merc.jpg,rulebook
2000,ドラゴンマーク・リプレイ―若き竜の羽ばたき,Dragon Merc Replay: Flap of a Young Dragon,Fujimi Shobo,dragon-merc-replay.jpg,replay
2000,ガープス・マジック,GURPS Magic,Fujimi Shobo,3rd-ed-magic.jpg,rulebook
2002,ルナル・サーガ・リプレイ―月に至る子〈1〉,Runal Saga Replay-Children to the Moon <1>,Fujimi Shobo,runal-replay1.jpg,replay
2002,ガープス・百鬼夜翔,GURPS Nightly Procession of Monsters,Fujimi Shobo,nightly-procession-of-monsters.jpg,supplement
2002,ガープス・マーシャルアーツ・リプレイ―赤い大地を駆ける疾風,GURPS Martial Arts Replay-Gale running through the red earth,Fujimi Shobo,martial-arts-replay.jpg,replay
2002,ガープス・マーシャルアーツ,GURPS Martial Arts,Fujimi Shobo,martial-arts.jpg,rulebook
2003,ガープス・パワーアップ,GURPS Power Up,Fujimi Shobo,power_up.jpg,supplement
2003,ルナル・サーガ・リプレイ 月に至る子２,Runal Saga Replay Child to the Moon 2,Fujimi Shobo,runal-replay2.jpg,replay
2004,ガープス・グリモア,GURPS Grimoire,Fujimi Shobo,grimoire.jpg,rulebook
2005,ガープス・ユエル,GURPS Yuell,Fujimi Shobo,yuell.jpg,rulebook
2005,ガープス・ベーシック【第4版】キャラクター,GURPS Basic [4th Edition] Character,Fujimi Shobo,4th-ed-character.jpg,rulebook
2005,ユエル・サーガ・リプレイ(2) かくて秘密は語られた,Yuel Saga Replay (2) Thus the secret was told,Fujimi Shobo,yuell-replay2.jpg,replay
2006,ガープス・ユエル サプリメント かくて世界は広がった,GURPS Yuell Supplement: Thus the World has Expanded,Shinkigensha,thus-the-world-has-expanded.jpg,supplement
2006,ガープス・ベーシック 第4版 キャンペーン,GURPS Basic [4th Edition] Campaign,Fujimi Shobo,4th-ed-campaign.jpg,rulebook
2006,ガープス・リボーンリバース,GURPS Reborn Rebirth,Hobby Base,reborn-rebirth.jpg,supplement
2006,ユエル・サーガ・リプレイ〈3〉かくて未来は開かれた,"Yuel Saga Replay <3> Thus, the future is open",Fujimi Shobo,yuell-replay3.jpg,replay
2007,ガープス魔法大全,GURPS Magic Encyclopedia,Fujimi Shobo,4th-ed-magic.jpg,rulebook
