year,japanese,english,publisher,imprint,image,product_type,product_code
1992,ガープス・ベーシック―汎用RPGルールブック,GURPS Basic: General Purpose RPG Rulebook,Kadokawa Shoten,Sneaker Bunko,gurps_basic.jpg,rulebook,614-1
1993,ガープス・マジック―汎用RPG呪文ガイド,GURPS Magic: General Purpose RPG Spell Guide,Kadokawa Shoten,Sneaker Bunko,gurps_magic.jpg,supplement,614-2
1992,ガープス・ルナル,GURPS Runal,Kadokawa Shoten,Sneaker Bunko,gurps_runal.jpg,supplement,614-20
1993,ガープス・ルナル・アドベンチャー 鬼面都市の冒険,GURPS Runal Adventure: Demon Plane City,Kadokawa Shoten,Sneaker_Bunko,gurps_runal_adv.jpg,scenario,614-21
1992,ガープス・ベーシック―汎用RPGルールブック,GURPS Basic: General Purpose RPG Rulebook,Kadokawa Shoten,Sneaker G Bunko,gurps_basic_sneaker_g.jpg,rulebook,880-1
1993,ガープス・マスタースクリーン,GURPS Master Screen,Kadokawa Shoten,,gurps_master_screen.jpg,supplement,
1993,ガープス・マジック―汎用RPG呪文ガイド,GURPS Magic: General Purpose RPG Spell Guide,Kadokawa Shoten,Sneaker G Bunko,gurps_magic_sneaker_g.jpg,supplement,880-2
1994,ガープスがよくわかる本,GURPS Understand Well Book,Kadokawa Shoten,Sneaker G Bunko,gurps_yoku_wakaru.jpg,replay,880-3
1994,ガープス・マーシャルアーツ―汎用RPG格闘技ガイド,GURPS Martial Arts: General Purpose RPG Martial Arts Guide,Kadokawa Shoten,Sneaker G Bunko,gurps_martial_arts.jpg,supplement,880-4
1995,ガープス・サイオニクス―汎用RPG超能力ガイド,GURPS Psionics: General Purpose RPG ESP Guide,Kadokawa Shoten,Sneaker G Bunko,gurps_psionics.jpg,supplement,880-5
1996,ガープス・サイバーパンク―汎用RPGハイパーテクノロジーガイド,GURPS Cyberpunk: General Purpose RPG Hyper Technology Guide,Kadokawa Shoten,Sneaker G Bunko,gurps_cyberpunk.jpg,supplement,880-6
1992,ガープス・ルナル,GURPS Runal,Kadokawa Shoten,Sneaker G Bunko,gurps_runal_sneaker_g.jpg,supplement,881-1
1993,ガープス・ルナル・アドベンチャー 鬼面都市の冒険,GURPS Runal Adventure: Demon Plane City,Kadokawa Shoten,Sneaker G Bunko,gurps_runal_adv_sneaker_g.jpg,scenario,881-2
