year,japanese,english,publisher,image,product_type,product_code
1991,蓬萊学園の冒険!!,Horai School Adventure!!,Yuentai,horai-school-adventure.jpg,box set,Y-9101
,蓬萊学園の放課後!!,After School at Horai Gakuen!!,Yuentai,hourai_gakuen2.jpg,box set,
,蓬萊学園の秘密!! ～学園騎士の仮面～,Horai School's Secret!! Gakuen Knight's Mask,Yuentai,hourai_gakuen4.jpg,box set,
1993,蓬萊学園の探検!!,Exploring Horai School!!,Yuentai,hourai_gakuen5.jpg,box set,Y-9104
,蓬萊学園のついたて,Horai School Screen,Yuentai,master-screen.jpg,supplement,
1995,蓬萊学園の冒険!! 改訂版,Horai School Adventure!! Revised Edition,Yuentai,revised-edition.jpg,rulebook,
,蓬莱生活事典　蓬莱学園の冒険！！ー改訂版ーサプリメント,Horai Life Encyclopedia: Adventure of Horai Gakuen! !! Revised version,Yuentai,horai_school_living_encyclopdedia.jpg,supplement,
1995,蓬莱学園人名事典,Horai Gakuen Biographical Dictionary,Yuentai,horai_gakuen_biographical_dictionary.jpg,supplement,
1991,試験に出る蓬莱学園!,Taking the Exam Horai Gakuen,BNN,taking_the_exam.jpg,supplement,
1994,なんでもかんでも蓬莱学園,Everything about Horai Gakuen,BNN,everything_about_horai_gakuen.jpg,supplement,
1994,蓬莱学園ワールドツアー,Horai Gakuen World Tour,Shinkigensha,hourai_gakuen_world_tour.jpg,supplement,
1995,蓬莱学園DX1 改訂版リプレイ特集,Horai Gakuen DX1 Revised Replay Special,SoftBank Creative,revised-replay.jpg,replay,
1995,蓬莱学園DX2 特集・1995年学園祭,Horai Gakuen DX2 Special Feature / 1995 School Festival,SoftBank Creative,revised-school-feature.jpg,supplement,
1996,蓬莱学園DX3 蓬莱学園の授業・卒業,Horai Gakuen DX3 Horai Gakuen Class / Graduation,SoftBank Creative,revised-graduation.jpg,supplement,
