year,japanese,english,publisher,image,product_type
2013,武装伝奇RPG 神我狩,Armed Bizarre RPG Kamigakari,Shinkigensha,kamigakari.jpg,rulebook
2013,黒剣のスレイヤー,Black Sword Slayer,Shinkigensha,black_sword_slayer.jpg,replay
2014,神魂のレクイエム,Requiem of the Divine Soul,Shinkigensha,requiem_of_soul.jpg,supplement
2014,ダモクレスの機神,Damocles Machine God,Shinkigensha,damocress_machine_god.jpg,supplement
2014,クロノスの原初神器,"Primitive, Sacred Instrument of Kronos",Shinkigensha,primitive_shinki_of_kronos.jpg,supplement
2014,邪神グリード,Evil God Greed,Shinkigensha,evil_god_greed.jpg,replay
2014,邪神グリード2 デストロイヤー・ガール,Evil God Greed 2: Destroyer Girl,Shinkigensha,evil_god_greed2.jpg,replay
2015,邪神グリード3 ドラゴン・メイデン,Evil God Greed 3: Dragon Maiden,Shinkigensha,evil_god_greed3.jpg,replay
2015,少女を焦がす熾火,A Blaze that Burns a Girl,Shinkigensha,blaze_burns_girl.jpg,scenario
2016,四神ガーディアンズ,Shigami Guardians,Shinkigensha,four_divine_guardians.jpg,supplement
2016,混沌神話との接触,Contact with Chaotic Myths,Shinkigensha,contact_with_chaotic_myths.jpg,scenario
2016,四神凶歌譚,Four Gods Bad Song Tan,Shinkigensha,four_gods.jpg,replay
2017,時空のオルタード,Space-Time Altered,Shinkigensha,space-time-altered.jpg,scenario
2018,神魔ストラグル,Kamima Struggle,Shinkigensha,kamima_struggle.jpg,scenario
2019,神怪夜行,God's Mysterious Night,Shinkigensha,gods_mysterious_night.jpg,supplement
2020,神機エクソダス,Shinki Exodus,Shinkigensha,shinki_exodus.jpg,supplement
