year,japanese,english,publisher,image,product_type
2004,迷宮キングダム,Make You Kingdom,Hobby Base,meikyuu_kingdom.jpg,rulebook
2004,迷宮クロニクルVol.1「はじめての迷宮キングダム」,Make You Chronicle!! Vol. 1,Hobby Base,chronicles1.jpeg,supplement
2004,迷宮クロニクルVol.2「白銀カーニバル」,Make You Chronicle!! Vol. 2,Hobby Base,chronicles2.jpg,supplement
2004,迷宮クロニクルVol.3「恋の増量120%」,Make You Chronicle!! Vol. 3,Hobby Base,chronicles3.jpg,supplement
2005,迷宮クロニクルVol.4「モンスター? モンスター!!」,Make You Chronicle!! Vol. 4,Hobby Base,chronicles4.jpg,supplement
2005,迷宮クロニクルVol.5「ロイヤル・ウェディング」,Make You Chronicle!! Vol. 5,Hobby Base,chronicles5.jpg,supplement
2005,迷宮クロニクルVol.6「お伽の法則（グリム・グリモワール）」,Make You Chronicle!! Vol. 6,Hobby Base,chronicles6.jpeg,supplement
2006,迷宮キングダム 迷宮ブック,Make You Kingdom: Labyrinth Book,Hobby Base,labyrinth_book.jpg,rulebook
2006,迷宮キングダム 王国ブック,Make You Kingdom: Kingdom Book,Hobby Base,kingdom_book.jpg,rulebook
2006,迷宮クロニクルVol.7「愚神礼賛」,Make You Chronicle!! Vol. 7,Hobby Base,chronicles7.jpg,supplement
2006,迷宮クロニクルVol.8「ハレ時々迷宮」,Make You Chronicle!! Vol. 8,Hobby Base,chronicles8.jpeg,supplement
2007,迷宮キングダム・リプレイ1　黙示録の乙女,Apocalypse Maiden,Fujimi Shobo,apocalypse_maiden.jpg,replay
,迷宮キングダム・リプレイ2　災厄の王子,Prince of Disaster,Fujimi Shobo,prince_of_disaster.jpg,replay
2008,百万迷宮大百科,Million Labyrinth Encyclopedia,Hobby Base,million_labyrinth_encyclopedia.jpg,supplement
2008,げっちゅー★キングダム!,Get You Kingdom!!,Hobby Base,getchu_kingdom.jpg,supplement
2008,シティアドベンチャー,City Adventure,Hobby Base,city_adventure.jpg,supplement
2010,迷宮キングダム 王国ブック,Make You Kingdom: Kingdom Book,Adventure Planning Bureau,kingdom_book_2010.jpg,rulebook
2010,迷宮キングダム・リプレイ 女王の帰還,Queen's Return,Shinkigensha,queens_return.jpg,replay
2011,迷宮キングダム 迷宮ブック,Make You Kingdom: Labyrinth Book,Adventure Planning Bureau,labyrinth_book_2010.jpg,rulebook
2011,猟奇戦役,Baroque Campaign,Adventure Planning Bureau,baroque_campaign.jpg,supplement
2011,迷宮キングダムリプレイ　黙示録の乙女,Apocalypse Maiden,Shinkigensha,apocalypse_maiden_shinkigensha.jpg,replay
,迷宮キングダム・リプレイ　災厄の王子,Prince of Disaster,Shinkigensha,prince_of_disaster_shinkigensha.jpg,replay
2011,迷宮キングダム・リプレイ 辺境王国とチーズの森,Frontier Kingdom and Cheese Forest,Shinkigensha,frontier_kingdom_and_cheese_forest.jpg,replay
2012,大殺階域,Overkill Paradise,Adventure Planning Bureau,overkill_paradise.jpg,supplement
2012,砂時計週報 日本語版 2010-2011,Weekly Sandglass,Adventure Planning Bureau,weekly_sandglass.jpg,supplement
2012,迷宮キングダム・リプレイ 辺境王国と滅亡のキッチン,Frontier Kingdom and Kitchen of Destruction,Shinkigensha,kitchen_of_destruction.jpg,replay
2013,迷宮キングダム・リプレイ 戦渦の五芒星,Pentagram of the War Whirlpool,Shinkigensha,pentagram.jpg,replay
2013,迷宮キングダム・リプレイ 逆襲の五芒星,Counterattack Pentagram,Shinkigensha,counterattack_pentagram.jpg,replay
2018,迷宮キングダム 基本ルールブック,Make You Kingdom Basic Rulebook,Kadokawa,basic_rulebook.jpeg,rulebook
2020,迷宮キングダム 上級ルールブック,Make You Kingdom Advanced Rulebook,Kadokawa,advanced_rulebook.jpeg,rulebook
2021,大冒険ブック 旅する王国と無名階域,Great Adventure Book: Traveling Kingdom and Anonymous Floors,Kadokawa,great_adventure_book.jpg,supplement
