year,japanese,english,publisher,image,product_type
2013,メタリックガーディアンRPG,Metallic Guardian RPG,Kadokawa,metallic-guardian.jpg,rulebook
2013,起動、鋼の守護神!,"Launch, Steel Guardian!",Fujimi Shobo,launch_steel_guardian.jpg,replay
2013,インヴェイジョン 襲来、宇宙からの侵略者!,"Invasion Invades, Invaders from Space!",Fujimi Shobo,invaders_from_space.jpg,replay
2013,メタリックガーディアンRPG 上級ルールブック,Metallic Guardian RPG: Advanced Rulebook,F.E.A.R.,advanced_rulebook.jpg,replay
2014,ラグナロク終わる世界の狂想曲,Lagunaroku Ending World Fantasy,Kadokawa,ending_world_fantasy.jpg,replay
2014,ラディアントブレイヴ ,Radiant Brave,F.E.A.R.,radiant-brave.jpg,supplement
2014,デジタルフロント,Digital Front,F.E.A.R.,digital-front.jpg,supplement
2015,ソルジャーオブフォーチュン,Soldier of Fortune,F.E.A.R.,soldier-of-fortune.jpg,supplement
2015,スーパーシナリオサポート Vol.1 鋼鉄の守護神,Super Scenario Support Vol.1 Guardian of Steel,F.E.A.R.,sss1.jpg,scenario
2016,ドッグオブウォー,Dog of War,F.E.A.R.,dog-of-war.jpg,supplement
2016,EXルールブック サードワールドウォー,EX Rulebook: Third World War,Kadokawa,third-world-war.jpg,rulebook
2016,エグゼクス 黙示録の勇者、誕生!,The Hero of the Exxex Apocalypse is Born!,Kadokawa,exxex.jpg,replay
