year,japanese,english,publisher,image,product_type
2011,モノトーンミュージアムRPG,Monotone Museum RPG,Enterbrain,monotone-museum.jpg,rulebook
2011,インカルツァンド,Incalzando,Enterbrain,incalzando.jpg,replay
2012,常闇のシェヘラザード,Sheherazad in the Darkness,Enterbrain,sheherazad_darkness.jpg,replay
2016,トレイメント,Traumen,Kadokawa,traumen.jpg,replay
2017,スーパーシナリオサポート vol.1 絹裂きは聖夜に舞う,Super Scenario Support Vol.1: Silk Tears Dance on Christmas Eve,F.E.A.R.,sss1.jpg,scenario
2017,スーパーシナリオサポート Vol.2 罪貨は喧騒に沸く,Super Scenario Support Vol.2: The Criminal Boiling,F.E.A.R.,sss2.jpg,scenario
2017,スーパーシナリオサポート vol.3 禍槌は悔恨に啼く,Super scenario support Vol.3: The Mallet Screams in Regret,F.E.A.R.,sss3.jpg,scenario
2018,フィオリトゥーラ,Fioritura,Kadokawa,fioritura.jpg,replay
2018,スーパーシナリオサポート vol.4 潮騒は熱砂に顕つ,Super scenario support Vol.4: Shiosai Appears in Hot Sand,F.E.A.R.,sss4.jpg,scenario
2020,アル・リヴェルソ,Al Riverso,Kadokawa,al_riverso.jpg,replay
