year,japanese,english,publisher,image,product_type
1993,真・女神転生RPG基本システム,New Goddess Reincarnation RPG Basic System,ASCII,new_goddess_reincarnation_1.jpg,rulebook
1994,真・女神転生RPG世紀末サバイバル・ガイド ,New Goddess Reincarnation RPG End of the Century Survival Guide,Aspect,new_goddess_reincarnation_1_end_of_century_survival_guide.jpg,supplement
1994,魔性の傀儡 真・女神転生RPGリプレイ ,Evil Puppet: New Goddess Reincarnation RPG Replay,Aspect,new_goddess_reincarnation_1_replay.jpg,replay
1995,真・女神転生II TRPG誕生篇,New Goddess Reincarnation II RPG Birth Edition,ASCII,new_goddess_reincarnation_2.jpg,rulebook
1995,紅蓮の夜 真・女神転生IITRPG誕生篇ジャンプスタート・キット,Night of the Lotus: New Goddess Reincarnation II RPG Birth Edition Jump Start Kit,Aspect,new_goddess_reincarnation_2_jumpstart_kit.jpg,rulebook
1995,魔界の扉　真・女神転生IITRPGリプレイ ,Gate of Hell: New Goddess Reincarnation II RPG Birth Edition Replay,Aspect,new_goddess_reincarnation_2_replay.jpg,replay
1996,金色の箱　真・女神転生IITRPGサプリメント,Golden Box: New Goddess Reincarnation II RPG Birth Edition Supplement,ASCII,new_goddess_reincarnation_2_replay2.jpg,supplement
1996,八雲の狭霧　真・女神転生IITRPGリプレイ,Mists of Yakumo: New Goddess Reincarnation II RPG Birth Edition Replay,ASCII,new_goddess_reincarnation_2_replay3.jpg,replay
1998,真・女神転生TRPG覚醒篇,New Goddess Reincarnation RPG Awakening Edition,Aspect,new_goddess_reincarnation_3.jpg,rulebook
2002,業魔殿―真・女神転生TRPG覚醒篇サプリメント,Business Hall: New Goddess Reincarnation RPG Awakening Edition Supplement,Suzaku Games,new_goddess_reincarnation_3_supplement.jpg,supplement
