year,japanese,english,publisher,image,product_type
2002,ナイトウィザード,Night Wizard,Enterbrain,night-wizard.jpg,rulebook
2002,スターダスト・メモリーズ 星を継ぐ者,Stardust Memories: Giants of the Stars,Enterbrain,stardust-memories.jpg,supplement
2003,紅き月の巫女,Red Moon Priestess,Enterbrain,red_moon_priestess.jpg,replay
2005,ロンギヌス,Longinus,Enterbrain,longinus.jpg,supplement
2005,白き陽の御子,The Son of the White Sun,Enterbrain,son_of_the_white_sun.jpg,replay
2006,合わせ鏡の神子,Shrine Maiden of the Infinity Mirror,Enterbrain,infinity_mirror_shrine_maiden.jpg,replay
2007,オーバーナイト,Overnight,Enterbrain,overnight.jpg,scenario
2007,ナイトウィザード The 2nd Edition,Night Wizard: The 2nd Edition,Enterbrain,2nd_edition.jpg,rulebook
2007,スクールメイズ,School Maze,Enterbrain,school_maze.jpg,supplement
2007,リーチ・フォー・ザ・スターズ,Reach for the Stars,Enterbrain,reach_for_the_stars.jpg,replay
2008,ラビリンスシティ,Labyrinth City,Enterbrain,labyrinth_city.jpg,supplement
2008,愛はさだめ さだめは死,"Love is Fate, Fate is Death",Enterbrain,love_is_fate.jpg,replay
2009,ソウルアーツ,Soul Arts,Enterbrain,soul_arts.jpg,supplement
2009,モノクロームの境界,Monochrome Boundaries,Enterbrain,monochrome_boundaries.jpg,replay
2010,ファー・ジ・アース,Far the Earth,Enterbrain,far_the_earth.jpg,supplement
2010,エターナルブレイヴ,Eternal Brave,Enterbrain,eternal_brave.jpg,replay
2010,蒼穹のエンゲージ,Blue Sky Engagement,Enterbrain,blue_sky_engagement.jpg,replay
2011,レッドムーン,Red Moon,Enterbrain,red_moon.jpg,supplement
2012,ネヴァーサレンダー,Never Surrender,Enterbrain,never_surrender.jpg,supplement
2012,星空のラストリゾート,Starry Sky Last Resort,Enterbrain,starry_sky_last_resort.jpg,replay
2012,マリオネットの方程式,Marionette Equation,Enterbrain,marionette_equation.jpg,replay
2013,たったひとつの冴えたやりかた,Only One Clear Way,Enterbrain,only_one_clear_way.jpg,replay
2014,ナイトウィザード The 3rd Edition,Night Wizard: The 3rd Edition,Kadokawa,3rd_edition.jpg,rulebook
2014,ナイトウィザード The3rd Edition 上級ルールブック,Night Wizard: The 3rd Edition: Advanced Rulebook,Kadokawa,advanced.jpg,rulebook
2014,ナイトウィザード The 3rd Edition シナリオ集 オーバーライト,Night Wizard: The 3rd Edition: Scenario Collection: Override,F.E.A.R.,3rd_edition_scenario.jpg,scenario
2015,ナイトウィザード The3rd Edition サプリメント デーモンロード,Night Wizard: The 3rd Edition: Supplement: Demon Road,Kadokawa,demon_road.jpg,supplement
