year,japanese,english,publisher,image,product_type
1988,オフィシャル D&D マガジン #1,Official Dungeons & Dragons Magazine #1,Shinwa,01.jpg,periodical
1988,オフィシャル D&D マガジン #2,Official Dungeons & Dragons Magazine #2,Shinwa,02.jpg,periodical
1988,オフィシャル D&D マガジン #3,Official Dungeons & Dragons Magazine #3,Shinwa,03.jpg,periodical
1988,オフィシャル D&D マガジン #4,Official Dungeons & Dragons Magazine #4,Shinwa,04.jpg,periodical
1989,オフィシャル D&D マガジン #5,Official Dungeons & Dragons Magazine #5,Shinwa,05.jpg,periodical
1989,オフィシャル D&D マガジン #6,Official Dungeons & Dragons Magazine #6,Shinwa,06.jpg,periodical
1989,オフィシャル D&D マガジン #7,Official Dungeons & Dragons Magazine #7,Shinwa,07.jpg,periodical
1989,オフィシャル D&D マガジン #7½,Official Dungeons & Dragons Magazine #7½,Shinwa,07.5.jpg,periodical
1989,オフィシャル D&D マガジン #8,Official Dungeons & Dragons Magazine #8,Shinwa,08.jpg,periodical
1989,オフィシャル D&D マガジン #9,Official Dungeons & Dragons Magazine #9,Shinwa,09.jpg,periodical
1989,オフィシャル D&D マガジン #10,Official Dungeons & Dragons Magazine #10,Shinwa,10.jpg,periodical
1989,オフィシャル D&D マガジン #11,Official Dungeons & Dragons Magazine #11,Shinwa,11.jpg,periodical
1990,オフィシャル D&D マガジン #12,Official Dungeons & Dragons Magazine #12,Shinwa,12.jpg,periodical
1990,オフィシャル D&D マガジン #13,Official Dungeons & Dragons Magazine #13,Shinwa,13.jpg,periodical
1990,オフィシャル D&D マガジン #14,Official Dungeons & Dragons Magazine #14,Shinwa,14.jpg,periodical
1990,オフィシャル D&D マガジン #15,Official Dungeons & Dragons Magazine #15,Shinwa,15.jpg,periodical
1990,オフィシャル D&D マガジン #16,Official Dungeons & Dragons Magazine #16,Shinwa,16.jpg,periodical
1990,オフィシャル D&D マガジン #17,Official Dungeons & Dragons Magazine #17,Shinwa,17.jpg,periodical
1990,オフィシャル D&D マガジン #18,Official Dungeons & Dragons Magazine #18,Shinwa,18.jpg,periodical
1990,オフィシャル D&D マガジン #19,Official Dungeons & Dragons Magazine #19,Shinwa,19.jpg,periodical
1990,オフィシャル D&D マガジン #20,Official Dungeons & Dragons Magazine #20,Shinwa,20.jpg,periodical
1991,オフィシャル D&D マガジン #21,Official Dungeons & Dragons Magazine #21,Shinwa,21.jpg,periodical
1991,オフィシャル D&D マガジン #22,Official Dungeons & Dragons Magazine #22,Shinwa,22.jpg,periodical
1991,オフィシャル D&D マガジン #23,Official Dungeons & Dragons Magazine #23,Shinwa,23.jpg,periodical
1990,オフィシャル D&D マガジン  プレイングガイド,Official Dungeons & Dragons Playing Guide,Shinwa,sp1.jpg,periodical
1990,オフィシャル D&D マガジン  プレイングガイドII,Official Dungeons & Dragons Playing Guide II,Shinwa,sp2.jpg,periodical
1990,オフィシャル D&D マガジン  プレイングガイドIII,Official Dungeons & Dragons Playing Guide III,Shinwa,sp3.jpg,periodical
1990,オフィシャル D&D マガジン  プレイングガイドIV,Official Dungeons & Dragons Playing Guide IV,Shinwa,sp4.jpg,periodical
1990,オフィシャル D&D マガジン  プレイングガイドV,Official Dungeons & Dragons Playing Guide V,Shinwa,sp5.jpg,periodical
1991,オフィシャル D&D マガジン  プレイングガイドVI,Official Dungeons & Dragons Playing Guide VI,Shinwa,sp6.jpg,periodical
1991,オフィシャル D&D マガジン  プレイングガイドVII,Official Dungeons & Dragons Playing Guide VII,Shinwa,sp7.jpg,periodical
