year,japanese,english,publisher,image,product_type,product_code
1994,央華封神ルールブック〈1〉プレイヤーブック,Oka Shujin Rule Book 1: Player Book,Media Works,oka_shujin1.jpg,rulebook,7-1
1994,央華封神ルールブック〈2〉ゲームマスターブック,Oka Shujin Rule Book 2: Gamemaster Book,Media Works,oka_shujin2.jpg,rulebook,7-2
1995,央華封神を遊ぶ本―シナリオ&拡張データ,Oka Shujin Play Book: Scenario and Extended Data,Media Works,scenario_and_extended_data.jpg,scenario,7-3
1995,央華を渡る風―央華封神シナリオソースブック,The Wind that Crosses Oka: Oka Shujin Scenario Source Book,Media Works,scenario_source_book.jpg,scenario,7-6
1995,悪に怒りを燃やすとき!―央華封神シナリオ集,When you are angry with evil! Oka Shujin Scenario Collection,Media Works,scenario_collection.jpg,scenario,7-5
1995,妖怪どもをぶっとばせ!―央華封神リプレイ〈1〉,Blast the Monsters! Oka Shujin Replay 1,Media Works,replay1.jpg,replay,7-4
1996,空の果てまで翔んでいけ!央華封神リプレイ〈2〉,Fly to the End of the Sky! Oka Shujin Replay 2,Media Works,replay2.jpg,replay,7-7
2001,央華封神RPG ロールプレイング・ゲーム,Oka Hoshin Role Playing Game,Group SNE,later.jpg,rulebook,
2002,央華封神１,Oka Hoshin 1,Group SNE,later_vol1.jpg,manga,
2002,央華封神２,Oka Hoshin 2,Group SNE,later_vol2.jpg,manga,
