year,japanese,english,publisher,image,product_type
1983,Vol. 1,,Tsukuda Hobby,01.jpg,periodical
1983,Vol. 2,,Tsukuda Hobby,02.jpg,periodical
1983,Vol. 3,,Tsukuda Hobby,03.jpg,periodical
1984,Vol. 4,,Tsukuda Hobby,04.jpg,periodical
1984,Vol. 5,,Tsukuda Hobby,05.jpg,periodical
1984,Vol. 6,,Tsukuda Hobby,06.jpg,periodical
1984,Vol. 7,,Tsukuda Hobby,07.jpg,periodical
1985,Vol. 8,,Tsukuda Hobby,08.jpg,periodical
1985,Vol. 9,,Tsukuda Hobby,09.jpg,periodical
1985,Vol. 10,,Tsukuda Hobby,10.jpg,periodical
1985,Vol. 11,,Tsukuda Hobby,11.jpg,periodical
1986,Vol. 12,,Tsukuda Hobby,12.jpg,periodical
1986,Vol. 13,,Tsukuda Hobby,13.jpg,periodical
1986,Vol. 14,,Tsukuda Hobby,14.jpg,periodical
1986,Vol. 15,,Tsukuda Hobby,15.jpg,periodical
1987,Vol. 16,,Tsukuda Hobby,16.jpg,periodical
1987,Vol. 17,,Tsukuda Hobby,17.jpg,periodical
1987,Vol. 18,,Tsukuda Hobby,18.jpg,periodical
1987,Vol. 19,,Tsukuda Hobby,19.jpg,periodical
