year,japanese,english,publisher,image,product_type,product_code
1984,ローズ・トゥ・ロード,The Roads to the Lord,Tsukuda Hobby,roads_to_lord.jpg,box set,HG-030R
1985,グイン・ワールド,Guin World,Tsukuda Hobby,guin_world.jpg,box set,HG-042R
1986,ローズ・トゥ・ロード,Nahan/Ramzas,Tsukuda Hobby,nahan_ramzas.jpg,box set,HG-051R
1987,ローズ・トゥ・ロード拡張キット ストラディウム編 Vol. 1,Stra Diumn: Roads to Lord Expansion Kit Vol. 1,Tsukuda Hobby,stra_diumn_1.jpg,box set,HG-062R-1
1987,ローズ・トゥ・ロード拡張キット ストラディウム編 Vol. 2,Stra Diumn: Roads to Lord Expansion Kit Vol. 2,Tsukuda Hobby,stra_diumn_2.jpg,box set,HG-062R-2
1987,ローズ・トゥ・ロード拡張キット ストラディウム編 Vol. 3,Stra Diumn: Roads to Lord Expansion Kit Vol. 3,Tsukuda Hobby,stra_diumn_3.jpg,box set,HG-062R-3
1989,ビヨンド・ローズ・トゥ・ロード,Beyond Roads to Lord,Yuentai,beyond_roads_to_lord.jpg,box set,Y-8901
,変異混成術師の夜,Shade of South,Yuentai,shade_of_south.jpg,box set,Y-9002
1991,ビヨンド・ローズ・トゥ・ロードでわかる実践RPG入門,A practical introduction to RPGs by means of Beyond Roads to Lord,BNN,beyond_roads_to_lord_primer1.jpg,supplement,
1991,精霊の大地―ビヨンド・ローズ・トゥ・ロードでわかる実践RPG入門 2,Earth Spirits: A practical introduction to RPGs by means of Beyond Roads to Lord Vol 2,BNN,beyond_roads_to_lord_primer2.jpg,supplement,
1993,ファー・ローズ・トゥ・ロード,Far Roads to Lord,Yuentai,far_roads_to_lord.jpg,box set,Y-9306
,スィーラの芝居小屋,Gamemaster's Set,Yuentai,gamemasters_set.jpg,supplement,
,大旗戦争,Great Flag War,Yuentai,great_flag_war.jpg,supplement,Y-9601
,ユルセルーム博物誌,Ivanmuira,Yuentai,jerusalem_natural_history.jpg,supplement,Y-9405
,月歌物語,Melyun Esion,Yuentai,moon_song_story.jpg,supplement,Y-9403
,剣と魔法,Severnn & Selmeri,Yuentai,sword_and_magic.jpg,supplement,Y-9402
,ファー・ローズトゥ・ロードリプレイ-RPGセッションガイド,Far Rose to Road Replay RPG Session Guide,Softbank Books,session_guide.jpg,replay,
2002,ローズ・トゥ・ロード,Roads to Lord,Enterbrain,roads_to_lord_2002.jpg,rulebook,
,ザ・ストレンジソング,The Strange Song,Arclight,strange_song.jpg,supplement,
,タトゥーノ〜“風に絵を書く”かりそめの魔法〜,"Tatuno ~ ""Drawing a picture in the wind"" Karisome's magic ~",Arclight,tatuno.jpg,supplement,
,ゲームマスター・スクリーン〜忘却の呪縛、近づく頃〜,"Gamemaster's Screen-The Curse of Oblivion, When It's Approaching-",Arclight,gamemasters_screen.jpg,supplement,
2006,ソングシーカー,Song Seeker,Shinkigensha,song_seeker.jpg,replay,
2010,ローズ・トゥ・ロード,Roads to Lord,Enterbrain,roads_to_lord_2010.jpg,rulebook,
