year,japanese,english,publisher,image,product_type
2003,六門世界RPG,Rokumon World RPG,Fujimi Shobo,rokumon.jpg,rulebook
2004,迷宮都市メルラルズ,Labyrinth City Merlars,Shinkigensha,labyrinth_city.jpg,supplement
2005,海賊都市クロスボーン,Pirate City Crossbone,Shinkigensha,pirate_city.jpg,supplement
2005,六門世界ワールドガイド,Rokumon World Guide,Kadokawa,world_guide.jpg,supplement
2006,キャラクター・コレクション,Character Collection,Shinkigensha,character_collection.jpg,supplement
2006,モンスター・コレクション,Monster Collection,Shinkigensha,monster_collection.jpg,supplement
2003,召喚ムスメと地下迷宮,Summoner Girl and the Underground Labyrinth,Fujimi Shobo,summoner_girl.jpg,replay
2003,召喚ムスメと地下迷宮2,Summoner Girl and the Underground Labyrinth 2,Fujimi Shobo,summoner_girl2.jpg,replay
2004,呪われ剣士と夢の島,Cursed Swordfighter and the Island of Dreams,Fujimi Shobo,cursed_swordfighter.jpg,replay
2004,守られ騎士と死者の鍵,Protected Knight and Dead Key,Fujimi Shobo,protected_knight.jpg,replay
2005,やりすぎ射手と燃える森,Overdoing Archers and the Burning Forest ,Fujimi Shobo,overkill archers.jpg,replay
2006,迷宮に巨人誕生を見た!? ,I saw the birth of a giant in the labyrinth !?,Fujimi Shobo,giant_birth.jpg,replay
2006,幻の島に大海獣を追う！,Follow the sea animals on a phantom island!,Fujimi Shobo,sea_animals.jpg,replay
2007,スカーレット・ラプソディ１,Scarlet Rhapsody 1,Shinkigensha,scarlet_rhapsody1.jpg,replay
2007,スカーレット・ラプソディ2,Scarlet Rhapsody 2,Shinkigensha,scarlet_rhapsody2.jpg,replay
2007,六門世界RPG セカンドエディション,Rokumon World RPG 2nd Edition,Shinkigensha,2nd_edition.jpg,rulebook
2007,サザンの闘技場,Southern Arena,Shinkigensha,southern_arena.jpg,supplement
2008,空中庭園エリュシオ,Aerial Garden Elysio,Shinkigensha,aerial_garden.jpg,supplement
2008,ジオテランの世界樹,Geoterran World Tree,Shinkigensha,world_tree.jpg,supplement
2008,スカーレット・オーバード 1,Scarlet Aubade 1,Shinkigensha,scarlet_aubade1.jpg,replay
2008,スカーレット・オーバード 2,Scarlet Aubade 2,Shinkigensha,scarlet_aubade2.jpg,replay
2009,スカーレット・シンフォニー 1,Scarlet Symphony 1,Shinkigensha,scarlet_symphony1.jpg,replay
