year,japanese,english,publisher,image,product_type
2003,Vol. 1,,Shinkigensha,001.jpg,periodical
2003,Vol. 2,,Shinkigensha,002.jpg,periodical
2003,Vol. 3,,Shinkigensha,003.jpg,periodical
2004,Vol. 4,,Shinkigensha,004.jpg,periodical
2004,Vol. 5,,Shinkigensha,005.jpg,periodical
2004,Vol. 6,,Shinkigensha,006.jpg,periodical
2004,Vol. 7,,Shinkigensha,007.jpg,periodical
2004,Vol. 8,,Shinkigensha,008.jpg,periodical
2004,Vol. 9,,Shinkigensha,009.jpg,periodical
2004,Vol. 10,,Shinkigensha,010.jpg,periodical
2004,Vol. 11,,Shinkigensha,011.jpg,periodical
2004,Vol. 12,,Shinkigensha,012.jpg,periodical
2004,Vol. 13,,Shinkigensha,013.jpg,periodical
2004,Vol. 14,,Shinkigensha,014.jpg,periodical
2004,Vol. 15,,Shinkigensha,015.jpg,periodical
2005,Vol. 16,,Shinkigensha,016.jpg,periodical
2005,Vol. 17,,Shinkigensha,017.jpg,periodical
2005,Vol. 18,,Shinkigensha,018.jpg,periodical
2005,Vol. 19,,Shinkigensha,019.jpg,periodical
2005,Vol. 20,,Shinkigensha,020.jpg,periodical
2005,Vol. 21,,Shinkigensha,021.jpg,periodical
2005,Vol. 22,,Shinkigensha,022.jpg,periodical
2005,Vol. 23,,Shinkigensha,023.jpg,periodical
2005,Vol. 24,,Shinkigensha,024.jpg,periodical
2005,Vol. 25,,Shinkigensha,025.jpg,periodical
2005,Vol. 26,,Shinkigensha,026.jpg,periodical
2005,Vol. 27,,Shinkigensha,027.jpg,periodical
2006,Vol. 28,,Shinkigensha,028.jpg,periodical
2006,Vol. 29,,Shinkigensha,029.jpg,periodical
2006,Vol. 30,,Shinkigensha,030.jpg,periodical
2006,Vol. 31,,Shinkigensha,031.jpg,periodical
2006,Vol. 32,,Shinkigensha,032.jpg,periodical
2006,Vol. 33,,Shinkigensha,033.jpg,periodical
2006,Vol. 34,,Shinkigensha,034.jpg,periodical
2006,Vol. 35,,Shinkigensha,035.jpg,periodical
2006,Vol. 36,,Shinkigensha,036.jpg,periodical
2006,Vol. 37,,Shinkigensha,037.jpg,periodical
2006,Vol. 38,,Shinkigensha,038.jpg,periodical
2006,Vol. 39,,Shinkigensha,039.jpg,periodical
2007,Vol. 40,,Shinkigensha,040.jpg,periodical
2007,Vol. 41,,Shinkigensha,041.jpg,periodical
2007,Vol. 42,,Shinkigensha,042.jpg,periodical
2007,Vol. 43,,Shinkigensha,043.jpg,periodical
2007,Vol. 44,,Shinkigensha,044.jpg,periodical
2007,Vol. 45,,Shinkigensha,045.jpg,periodical
2007,Vol. 46,,Shinkigensha,046.jpg,periodical
2007,Vol. 47,,Shinkigensha,047.jpg,periodical
2007,Vol. 48,,Shinkigensha,048.jpg,periodical
2007,Vol. 49,,Shinkigensha,049.jpg,periodical
2007,Vol. 50,,Shinkigensha,050.jpg,periodical
2007,Vol. 51,,Shinkigensha,051.jpg,periodical
2008,Vol. 52,,Shinkigensha,052.jpg,periodical
2008,Vol. 53,,Shinkigensha,053.jpg,periodical
2008,Vol. 54,,Shinkigensha,054.jpg,periodical
2008,Vol. 55,,Shinkigensha,055.jpg,periodical
2008,Vol. 56,,Shinkigensha,056.jpg,periodical
2008,Vol. 57,,Shinkigensha,057.jpg,periodical
2008,Vol. 58,,Shinkigensha,058.jpg,periodical
2008,Vol. 59,,Shinkigensha,059.jpg,periodical
2008,Vol. 60,,Shinkigensha,060.jpg,periodical
2008,Vol. 61,,Shinkigensha,061.jpg,periodical
2008,Vol. 62,,Shinkigensha,062.jpg,periodical
2008,Vol. 63,,Shinkigensha,063.jpg,periodical
2009,Vol. 64,,Shinkigensha,064.jpg,periodical
2009,Vol. 65,,Shinkigensha,065.jpg,periodical
2009,Vol. 66,,Shinkigensha,066.jpg,periodical
2009,Vol. 67,,Shinkigensha,067.jpg,periodical
2009,Vol. 68,,Shinkigensha,068.jpg,periodical
2009,Vol. 69,,Shinkigensha,069.jpg,periodical
2009,Vol. 70,,Shinkigensha,070.jpg,periodical
2009,Vol. 71,,Shinkigensha,071.jpg,periodical
2009,Vol. 72,,Shinkigensha,072.jpg,periodical
2009,Vol. 73,,Shinkigensha,073.jpg,periodical
2009,Vol. 74,,Shinkigensha,074.jpg,periodical
2009,Vol. 75,,Shinkigensha,075.jpg,periodical
