year,japanese,english,publisher,image,product_type
1994,RPGドラゴン No. 1,RPG Dragon No. 1,Fujimi Shobo,01.jpg,periodical
1994,RPGドラゴン No. 2,RPG Dragon No. 2,Fujimi Shobo,02.jpg,periodical
1994,RPGドラゴン No. 3,RPG Dragon No. 3,Fujimi Shobo,03.jpg,periodical
1995,RPGドラゴン No. 4,RPG Dragon No. 4,Fujimi Shobo,04.jpg,periodical
1995,RPGドラゴン No. 5,RPG Dragon No. 5,Fujimi Shobo,05.jpg,periodical
1995,RPGドラゴン No. 6,RPG Dragon No. 6,Fujimi Shobo,06.jpg,periodical
1995,RPGドラゴン No. 7,RPG Dragon No. 7,Fujimi Shobo,07.jpg,periodical
1996,RPGドラゴン No. 8,RPG Dragon No. 8,Fujimi Shobo,08.jpg,periodical
1996,RPGドラゴン No. 9,RPG Dragon No. 9,Fujimi Shobo,09.jpg,periodical
1996,RPGドラゴン No. 10,RPG Dragon No. 10,Fujimi Shobo,10.jpg,periodical
1996,RPGドラゴン No. 11,RPG Dragon No. 11,Fujimi Shobo,11.jpg,periodical
1997,RPGドラゴン No. 12,RPG Dragon No. 12,Fujimi Shobo,12.jpg,periodical
1997,RPGドラゴン No. 13,RPG Dragon No. 13,Fujimi Shobo,13.jpg,periodical
