year,japanese,english,publisher,image,product_type
1986,RPG幻想事典,RPG Fantasy Encyclopedia,SoftBank Creative,rpg-fantasy-encyclopedia.jpg,supplement
1988,RPG幻想事典 日本編,RPG Fantasy Encyclopedia Japan,SoftBank Creative,japan-edition.png,supplement
1993,RPG幻想事典チャンバラ英雄伝,RPG Fantasy Encyclopedia Chamber Heroes,SoftBank Creative,chamber-heroes.jpg,supplement
1994,RPG幻想事典 戦士たちの時代,RPG Fantasy Encyclopedia The Age of Warriors,SoftBank Creative,age-of-warriors.jpg,supplement
1994,RPG幻想事典モンスターガイド西洋編,RPG Fantasy Encyclopedia Monster Guide Western Edition,SoftBank Creative,wesstern-monster-guide.jpg,supplement
1994,RPG幻想事典モンスターガイド東洋編,RPG Fantasy Encyclopedia Monster Guide Eastern Edition,SoftBank Creative,eastern-monster-guide.jpg,supplement
1995,RPG幻想事典 アイテムガイド,RPG Fantasy Encyclopedia Item Guide,SoftBank Creative,item-guide.jpg,supplement
1996,RPG幻想事典戦場の乙女たち,RPG Fantasy Encyclopedia Battlefield Maidens,SoftBank Creative,battlefield-maidens.jpg,supplement
2006,新説 RPG幻想事典 剣と魔法の博物誌,New RPG Fantasy Encyclopedia Sword and Magic Museum,SoftBank Creative,sword_and_magic_museum.jpg,supplement
2008,新説RPG幻想事典 剣と魔法の博物誌~モンスター編~,New RPG Fantasy Encyclopedia Sword and Magic Museum: Monster Edition,SoftBank Creative,monster_edition.jpg,supplement
2009,新説 RPG幻想事典 剣と魔法の博物誌 ~モンスター編2~,New RPG Illusion Encyclopedia Sword and Magic Museum: Monster Edition 2,SoftBank Creative,monster_edition_vol2.jpg,supplement
