year,japanese,english,publisher,image,product_type
1990,1990/5 No. 01,1990/5,Hobby Japan,01.jpg,periodical
1990,1990/6 No. 02,1990/6,Hobby Japan,02.jpg,periodical
1990,1990/7 No. 03,1990/7,Hobby Japan,03.jpg,periodical
1990,1990/8 No. 04,1990/8,Hobby Japan,04.jpg,periodical
1990,1990/9 No. 05,1990/9,Hobby Japan,05.jpg,periodical
1990,1990/10 No. 06,1990/10,Hobby Japan,06.jpg,periodical
1990,1990/11 No. 07,1990/11,Hobby Japan,07.jpg,periodical
1990,1990/12 No. 08,1990/12,Hobby Japan,08.jpg,periodical
1991,1991/1 No. 09,1991/1,Hobby Japan,09.jpg,periodical
1991,1991/2 No. 10,1991/2,Hobby Japan,10.jpg,periodical
1991,1991/3 No. 11,1991/3,Hobby Japan,11.jpg,periodical
1991,1991/4 No. 12,1991/4,Hobby Japan,12.jpg,periodical
1991,1991/5 No. 13,1991/5,Hobby Japan,13.jpg,periodical
1991,1991/6 No. 14,1991/6,Hobby Japan,14.jpg,periodical
1991,1991/7 No. 15,1991/7,Hobby Japan,15.jpg,periodical
1991,1991/8 No. 16,1991/8,Hobby Japan,16.jpg,periodical
1991,1991/9 No. 17,1991/9,Hobby Japan,17.jpg,periodical
1991,1991/10 No. 18,1991/10,Hobby Japan,18.jpg,periodical
1991,1991/11 No. 19,1991/11,Hobby Japan,19.jpg,periodical
1991,1991/12 No. 20,1991/12,Hobby Japan,20.jpg,periodical
1992,1992/1 No. 21,1992/1,Hobby Japan,21.jpg,periodical
1992,1992/2 No. 22,1992/2,Hobby Japan,22.jpg,periodical
1992,1992/3 No. 23,1992/3,Hobby Japan,23.jpg,periodical
1992,1992/4 No. 24,1992/4,Hobby Japan,24.jpg,periodical
1992,1992/5 No. 25,1992/5,Hobby Japan,25.jpg,periodical
1992,1992/6 No. 26,1992/6,Hobby Japan,26.jpg,periodical
1992,1992/7 No. 27,1992/7,Hobby Japan,27.jpg,periodical
1992,1992/8 No. 28,1992/8,Hobby Japan,28.jpg,periodical
