year,japanese,english,publisher,image,product_type
2003,RPGamer Spring 2003 Vol. 1,,Kokusai-Tsushin,01.jpg,periodical
2003,RPGamer Summer 2003 Vol. 2,,Kokusai-Tsushin,02.jpg,periodical
2003,RPGamer Autumn 2003 Vol. 3,,Kokusai-Tsushin,03.jpg,periodical
2003,RPGamer Winter 2003 Vol. 4,,Kokusai-Tsushin,04.jpg,periodical
2004,RPGamer Spring 2004 Vol. 5,,Kokusai-Tsushin,05.jpg,periodical
2004,RPGamer Summer 2004 Vol. 6,,Kokusai-Tsushin,06.jpg,periodical
2004,RPGamer Autumn 2004 Vol. 7,,Kokusai-Tsushin,07.jpg,periodical
2004,RPGamer Winter 2004 Vol. 8,,Kokusai-Tsushin,08.jpg,periodical
2005,RPGamer Spring 2005 Vol. 9,,Kokusai-Tsushin,09.jpg,periodical
2005,RPGamer Summer 2005 Vol. 10,,Kokusai-Tsushin,10.jpg,periodical
2005,RPGamer Autumn 2005 Vol. 11,,Kokusai-Tsushin,11.jpg,periodical
2005,RPGamer Winter 2005 Vol. 12,,Kokusai-Tsushin,12.jpg,periodical
2006,RPGamer Spring 2006 Vol. 13,,Kokusai-Tsushin,13.jpg,periodical
2006,RPGamer Summer 2006 Vol. 14,,Kokusai-Tsushin,14.jpg,periodical
2006,RPGamer Autumn 2006 Vol. 15,,Kokusai-Tsushin,15.jpg,periodical
