year,japanese,english,publisher,image,product_type,product_code
1988,ドラゴン・パス,Dragon Pass,Hobby Japan,dragon_pass.jpg,box set,849
1988,ルーンクエスト,RuneQuest,Hobby Japan,runequest.jpg,box set,8579
1988,ルーンクエスト上級ルールブック,RuneQuest Advanced Set,Hobby Japan,runequest_advanced_set.jpg,box set,8579-1
1989,アップルレーン,Apple Lane,Hobby Japan,apple_lane.jpg,scenario,85712
1989,グローランサ,Glorantha,Hobby Japan,glorantha.jpg,box set,8585
1989,ルーンクエルトコンパニオン,RuneQuest Companion,Hobby Japan,runequest_companion.jpg,supplement,
1990,グローランサ動物誌,Gloranthan Bestiary,Hobby Japan,gloranthan_bestiary.jpg,supplement,85711
1990,グローランサの神々,Gods of Glorantha,Hobby Japan,gods_of_glorantha.jpg,box set,8577
1990,ルーンクエスト・シティーズ,RuneQuest Cities,Hobby Japan,runequest_cities.jpg,supplement,85714
1990,スネークパイプ・ホロウ,Snake Pipe Hollow,Hobby Japan,snake_pipe_hollow.jpg,scenario,85713
1991,グローランサ古の秘密,Elder Secrets of Glorantha,Hobby Japan,elder_secrets_of_glorantha.jpg,box set,8588
1991,グリフィン・アイランド,Griffin Island,Hobby Japan,griffin_island.jpg,box set,8578
1992,ルーンクエスト・ナインティーズ,RuneQuest '90s,Hobby Japan,runequest_90s.jpg,rulebook,
1993,ドラゴンアトラス,Dragon Atlas,Hobby Japan,dragon_atlas.jpg,supplement,
1993,サンカウンティ,Sun County,Hobby Japan,sun_county.jpg,supplement,
1993,トロウルパック,Trollpak,Hobby Japan,trollpak.jpg,box set,8586
1994,グローランサ年代記,King of Sartar,Hobby Japan,king_of_sartar.jpg,supplement,
1994,モンスターコロシアム,Monster Coliseum,Hobby Japan,monster_coliseum.jpg,box set,8573
1994,ゆりかご河,River of Cradles,Hobby Japan,river_of_cradles.jpg,supplement,
,RQスクリーン・セット,RuneQuest Screen,Hobby Japan,runequest_gamemasters_screen.jpg,supplement,
