year,japanese,english,publisher,image,product_type
1996,セブン＝フォートレス,Seven Fortress,Hobby Japan,seven_fortress.jpg,box set
1998,セブン＝フォートレス Advanced,Seven Fortress Advanced,Aspect,seven_fortress_advanced.jpg,rulebook
1999,セブン＝フォートレス クラシック,Seven Fortress Classic,Game Field,seven_fortress_classic.jpg,rulebook
2001,セブン＝フォートレス EX,Seven Fortress EX,Game Field,seven_fortress_ex.jpg,supplement
1997,アルセイルの氷砦,Arsale Ice Fort,Game Field,arsale_ice_fort_advanced.jpg,replay
2000,アルセイルの氷砦,Arsale Ice Fort (Advanced),Game Field,arsale_ice_fort.jpg,replay
2002,フォーラの森砦,Fora Fortress Fort,Game Field,fora_forest_fort_source_book.jpg,replay
,フォーチューンの海砦（下）,Fortune Sea Fort Vol.1,Game Field,fortune_sea_fort_pt1.jpg,replay
,フォーチューンの海砦（上）,Fortune Sea Fort Vol.2,Game Field,fortune_sea_fort_pt2.jpg,replay
,リーンの闇砦,Lean's Dark Fortress,Game Field,leans_dark_fortress.jpg,replay
