year,japanese,english,publisher,image,product_type,product_code
1994,シャドウラン〈ルールブック〉,Shadowrun,Fujimi Shobo,shadowrun.jpg,rulebook,
1994,失墜の魔術師―シャドウランリプレイ集〈1〉,Fallen Magician: Shadowrun Replay Collection 1,Fujimi Shobo,replay1.jpg,replay,
1995,悪夢の刻印―シャドウランリプレイ集〈2〉,Nightmare Stamp: Shadowrun Replay Collection 2,Fujimi Shobo,replay2.jpg,replay,
1995,TOKYO EYE‐SHOT シャドウランシティファイル,Tokyo Eye Shot: Shadowrun City File,Fujimi Shobo,shadowrun_tokyo_eye_shot.jpg,supplement,12-3
1996,TOKYOソースブック,Tokyo Source Book,Fujimi Shobo,shadowrun_tokyo_sourcebook.jpg,supplement,
1996,裏切りの構図―シャドウランシナリオ集 ,Betrayal Composition: Shadowrun Scenario Collection,Fujimi Shobo,shadowrun_entangled_betrayal.jpg,scenario,
1996,影への助走―シャドウランリプレイ集〈3〉,Run-up to Shadow: Shadowrun Replay Collection 3,Fujimi Shobo,replay3.jpg,replay,
1997,侵蝕の魔手―シャドウランリプレイ集〈4〉,Evil Magic: Shadowrun Replay Collection 4,Fujimi Shobo,replay4.jpg,replay,
2007,シャドウラン 4th Edition,Shadowrun 4th Edition,Shinkigensha,4th_edition.jpg,rulebook,
2007,ストリート・マジック,Street Magic,Shinkigensha,street_magic.jpg,supplement,
2007,ストリートの天使たち,Street Angels,Shinkigensha,street_angels.jpg,replay,
2010,ビギナーズ・バッドラック,Beginner's Bad Luck,Shinkigensha,beginners_bad_luck.jpg,replay,
2010,ストリートの天使たち　改訂版,Street Angels Revised Edition,Shinkigensha,street_angels_revised.jpg,replay,
2010,旅する天使たち,Traveling Angels,Shinkigensha,traveling_angels.jpg,replay,
2011,オーグメンテーション,Augmentation,Shinkigensha,augmentation.jpg,supplement,
2012,シャドウラン 20th Anniversary Edition,Shadowrun 20th Anniversary Edition,Shinkigensha,20th_anniversary.jpg,rulebook,
2013,アーセナル,Arsenal,Shinkigensha,arsenal.jpg,supplement,
2013,九龍の天使たち,Kowloon Angels,Shinkigensha,kowloon_angels.jpg,replay,
2014,ンワイアード,Unwired,Shinkigensha,unwired.jpg,supplement,
2014,帝都の天使たち,Angels of the Imperial City,Shinkigensha,imperial_city.jpg,replay,
2015,ランナーズ・コンパニオン,Runner's Companion,Shinkigensha,runners_companion.jpg,supplement,
2018,シャドウラン 5th Edition,Shadowrun 5th Edition,Shinkigensha,5th_edition.jpg,rulebook,
2019,スプロール・ワイルド,Sprawl Wilds,Shinkigensha,sprawl_wilds.jpg,scenario,
2020,ファイアリング・ライン,Firing Line,Shinkigensha,firing_line.jpg,supplement,
2021,ラン&ガン,Run & Gun,Shinkigensha,run_and_gun.jpg,supplement,
