year,japanese,english,publisher,image,product_type
2009,現代忍術バトルRPG シノビガミ -忍神-,Modern Ninjutsu Battle RPG Shinobigami,Shinkigensha,ninja_god.jpg,replay
2009,シノビガミ弐 刃魔激突,Shinobigami 2: Blade Demon Clash,Shinkigensha,2nd_blade_magic_clash.jpg,replay
2010,シノビガミ参 るつぼ奇譚,Shinobigami 3: Crucible Kitan,Shinkigensha,crucible_kitan.jpg,replay
2010,シノビガミ死　棄神宮殿,Shinobigami 4: Abandoned God Palace,Shinkigensha,abandoned_palace.png,replay
2010,シノビガミ・リプレイ戦（１） 事無草、咲く,"Shinobigami Replay Battle (1) No grass, blooming",Fujimi Shobo,replay_vol1.jpg,replay
2011,シノビガミ乱　不帰城,Shinobigami 5: Castle of No Return,Shinkigensha,castle_of_no_return.jpg,replay
2011,シノビガミ怪　冥王裁判,Shinobigami 6: Meiou Trial,Shinkigensha,meiou_trial.jpg,replay
2011,シノビガミ・リプレイ戦（２） 妖狐、中天に舞う,Shinobigami Replay Battle (2) The demon fox dances in the middle sky,Fujimi Shobo,replay_vol2.jpg,replay
2012,シノビガミ龍　龍動忍法帖 ,Shinobigami 7: Ryudou Ninpocho,Shinkigensha,ryudou_ninpocho.jpg,replay
2012,忍術バトルRPGシノビガミ基本ルールブック,Ninjutsu Battle RPG Shinobigami Basic Rulebook,Shinkigensha,hardcover_rulebook.jpg,rulebook
2013,シノビガミ悪 七人の悪魔忍者,Shinobigami 8: Seven Devil Ninjas,Shinkigensha,seven_devil_ninjas.jpg,replay
2014,シノビガミ シナリオ集 忍秘伝・改,Shinobigami Scenario Collection Shinobi Den / Kai,Shinkigensha,den_kai.jpg,scenario
2015,シノビガミ リプレイ　プロレス忍法帖,Shinobigami Replay Wrestling Ninpocho,Shinkigensha,wrestling.jpg,replay
2020,シノビガミ シナリオ集 正忍記・認,Shinobigami Scenario Collection Masanobu / Approval,Shinkigensha,masanobu_approval.jpg,scenario
2020,シノビガミ十周年記念ルールブック シノビガミ華,Shinobigami 10th Anniversary Rulebook Shinobigami Hana,Shinkigensha,10th_anniversary_rulebook.jpg,rulebook
2021,シノビガミ 流派ブック 比良坂機関,Shinobigami School Book Hirasaka Organization,Shinkigensha,hirasaka_organization.jpg,supplement
2022,シノビガミ 流派ブック 鞍馬神流 ,Shinobigami School Book Kurama Shinryu,Shinkigensha,kuruma_shinryu.jpg,supplement
