year,japanese,english,publisher,image,product_type
2008,シルバーレインRPG,Silver Rain RPG,Enterbrain,silver-rain1.jpg,rulebook
2008,シルバーレインRPGサプリメント 人狼VS吸血鬼,Silver Rain RPG Supplement Werewolf VS Vampire,Enterbrain,silver-rain2.jpg,supplement
2008,白き女王の夜,White Queen's Night,Enterbrain,replay1.jpg,replay
2008,白き災いが天に舞う,White Calamity Dances in Heaven,Enterbrain,replay2.jpg,replay
2009,シルバーレインRPGサプリメント メガリスクライシス,Silver Rain RPG Supplement Mega Risk Lysis,Enterbrain,silver-rain3.jpg,supplement
2009,シルバーレインRPG サプリメント エンドレスデイズ,Silver Rain RPG Supplement Endless Days,Enterbrain,silver-rain4.jpg,supplement
2009,白き大地の目覚め,Awakening of the White Earth,Enterbrain,replay3.jpg,replay
2009,蒼き破鏡の使者,The Messenger of the Blue Mirror,Enterbrain,replay4.jpg,replay
2010,シルバーレインRPG サプリメント　幽世奇談,Silver Rain RPG Supplement Mysterious story,Enterbrain,silver-rain6.jpg,supplement
2011,シルバーレインRPGサプリメント兇鬼戦線,Silver Rain RPG Supplement Oni Front,Enterbrain,silver-rain5.jpg,supplement
