year,japanese,english,publisher,image,product_type
2008,ソード・ワールド2.0 ルールブック I,Sword World 2.0 Rulebook I,Fujimi Shobo,sword_world_2.0.jpg,rulebook
2008,ソード・ワールド2.0 ルールブックII,Sword World 2.0 Rulebook II,Fujimi Shobo,sword_world_2.0_ii.jpg,rulebook
2008,ソード・ワールド2.0 ルールブックIII,Sword World 2.0 Rulebook III,Fujimi Shobo,sword_world_2.0_iii.jpg,rulebook
2012,ソード・ワールド2.0 ルールブックI 改訂版,Sword World 2.0 Rulebook I Revised Edition,Fujimi Shobo,sword_world_2.0_revised.jpg,rulebook
2013,ソード・ワールド2.0 ルールブックII 改訂版,Sword World 2.0 Rulebook II Revised Edition,Fujimi Shobo,sword_world_2.0_ii_revised.jpg,rulebook
2014,ソード・ワールド2.0 ルールブックIII 改訂版,Sword World 2.0 Rulebook III Revised Edition,Fujimi Shobo,sword_world_2.0_iii_revised.jpg,rulebook
2015,ソード・ワールド2.0 ルールブックEX,Sword World 2.0 Rulebook EX,Kadokawa,sword_world_2.0_ex.jpg,rulebook
2016,ソード・ワールド2.0 バルバロスブック,Sword World 2.0 Barbaros Book,Kadokawa,baraboros.jpg,rulebook
2017,ソード・ワールド2.0 ラクシアゴッドブック,Sword World 2.0 Raxia God Book,Kadokawa,raxia_god.jpg,rulebook
2009,ミストキャッスル ─蛮都からの生還,Mist Castle ─ Survival from the Barbaric City,Fujimi Shobo,mist_castle.jpg,scenario
2010,フェアリーガーデン妖精たちの空中庭園,Fairy Garden: Fairies' Aerial Garden,Fujimi Shobo,fairy_garden.jpg,scenario
2011,エターナルエンパイア ‐不滅の探究者た,Eternal Empire: Immortal Seeker,Fujimi Shobo,immortal_seeker.jpg,supplement
2012,カースドランド ‐凶夢への反攻‐,Cursed Land: Counterattack against the Dream,Fujimi Shobo,counterattack_dream.jpg,supplement
2013,ミストグレイヴ‐蛮都への復讐‐,Mist Grave: Revenge on the Barbaric City,Fujimi Shobo,revenge_barbaric.jpg,supplement
2017,エンドレスメイズ -迷宮創生の魔剣-,Endless Maze: The Magic Sword of Labyrinth Creation,Kadokawa,labyrinth_creation.jpg,supplement
2009,アルケミスト・ワークス,Alchemist Works,Fujimi Shobo,alchemist_works.jpg,supplement
2010,バルバロステイルズ,Barbarous Tales,Fujimi Shobo,barbarous_tales.jpg,supplement
2011,ウィザーズトゥーム,Wizard's Tomb,Fujimi Shobo,wizards_tomb.jpg,supplement
2012,カルディアグレイス,Cardia Grace,Fujimi Shobo,cardia_grace.jpg,supplement
2013,イグニスブレイズ,Ignis Blaze,Kadokawa,ignis_blaze.jpg,supplement
2014,ルミエルレガシィ,Lumiere Legacy,Kadokawa,lumiere_legacy.jpg,supplement
2015,フォルトナコード,Fortuna Code,Kadokawa,fortuna_code.jpg,supplement
2012,プレイヤーズ・ハンドブック フェイダン博物誌,Players Handbook Faydan Museum,Fujimi Shobo,faydan_museum.jpg,supplement
2012,プレイヤーズ・ハンドブック ザルツ博物誌,Players Handbook Salz Museum,Kadokawa,salz_museum.jpg,supplement
2013,プレイヤーズ・ハンドブック ユーレリア博物誌,Players Handbook Eurelia Natural History,Kadokawa,eurelia.jpg,supplement
2015,プレイヤーズ・ハンドブック ダグニア博物誌,Players Handbook Dagnia Museum,Kadokawa,dagnia_museum.jpg,supplement
2016,プレイヤーズ・ハンドブック ディルフラム博物誌 ,Players Handbook Dilfram Museum,Kadokawa,dilfram_museum.jpg,supplement
2009,ソード・ワールド2.0 ツアー(1) ルーフェリア,Sword World 2.0 Tour 1: Luferia,Fujimi Shobo,luferia.jpg,supplement
2010,ソード・ワールド2.0ツアー (2)　リオス,Sword World 2.0 Tour 2: Lios,Fujimi Shobo,lios.jpg,supplement
2014,バトルキャンペーンブックカルゾラルの魔動天使,Battle Campaign Book Calzoral's Magic Angel,Kadokawa,calzorals_magic_angel.jpg,supplement
2015,バトルキャンペーンブック プロセルシア秘史 ―暁をうたう竜の姫,Battle Campaign Book Procercia Secret History-Dawn Princess,Kadokawa,procercia_secret_history.jpg,supplement
2014,ストーリー&データブックドラゴンレイド戦竜伝 ,Story & Data Book Dragon Raid Senryuden,Kadokawa,dragon_raid_senryuden.jpg,supplement
2014,グランドキャンペーン ドラゴンレイドビギンズ ‐白き竜の乙女‐,Grand Campaign Dragon Raid Begins-White Dragon Maiden-,Kadokawa,white_dragon_maiden.jpg,supplement
2015,ストーリー&データブック ドラゴンレイド戦竜伝 (2),Story & Data Book Dragon Raid Senryuden (2),Kadokawa,dragon_raid_senryuden2.jpg,supplement
2008,シナリオ集　挑戦! 魔剣が呼ぶ迷宮,Scenario Collection: Challenge! Labyrinth Called by the Magic Sword,Fujimi Shobo,labyrinth_magic_sword.jpg,scenario
2008,シナリオ集(2) 風雲!歌声が響く都市,Scenario Collection (2) Fengyun! A City Where the Singing Voice Echoes,Fujimi Shobo,fengyun.jpg,scenario
