year,japanese,english,publisher,image,product_type
1982,No. 1 January–February 1982,,Hobby Japan,198201.jpg,periodical
1982,No. 2 March–April 1982,,Hobby Japan,198203.jpg,periodical
1982,No. 3 May–June 1982,,Hobby Japan,198205.jpg,periodical
1982,No. 4 July–August 1982,,Hobby Japan,198207.jpg,periodical
1982,No. 5 September–October 1982,,Hobby Japan,198209.jpg,periodical
1982,No. 6 November–December 1982,,Hobby Japan,198211.jpg,periodical
1983,No. 7 January–February 1983,,Hobby Japan,198301.jpg,periodical
1983,No. 8 March–April 1983,,Hobby Japan,198303.jpg,periodical
1983,No. 9 May–June 1983,,Hobby Japan,198305.jpg,periodical
1983,No. 10 July–August 1983,,Hobby Japan,198307.jpg,periodical
1983,No. 11 September–October 1983,,Hobby Japan,198309.jpg,periodical
1983,No. 12 November–December 1983,,Hobby Japan,198311.jpg,periodical
1984,No. 13 January–February 1984,,Hobby Japan,198401.jpg,periodical
1984,No. 14 March–April 1984,,Hobby Japan,198403.jpg,periodical
1984,No. 15 May–June 1984,,Hobby Japan,198405.jpg,periodical
1984,No. 16 July–August 1984,,Hobby Japan,198407.jpg,periodical
1984,No. 17 September–October,,Hobby Japan,198409.jpg,periodical
1984,No. 18 November–December 1984,,Hobby Japan,198411.jpg,periodical
1985,No. 19 January–February 1985,,Hobby Japan,198501.jpg,periodical
1985,No. 20 March–April 1985,,Hobby Japan,198503.jpg,periodical
1985,No. 21 May–June 1985,,Hobby Japan,198505.jpg,periodical
1985,No. 22 July–August 1985,,Hobby Japan,198507.jpg,periodical
1985,No. 23 September–October 1985,,Hobby Japan,198509.jpg,periodical
1985,No. 24 November 1985,,Hobby Japan,198511.jpg,periodical
1985,No. 25 December 1985,,Hobby Japan,198512.jpg,periodical
1986,No. 26 1986/1,,Hobby Japan,198601.jpg,periodical
1986,No. 27 1986/2,,Hobby Japan,198602.jpg,periodical
1986,No. 28 1986/3,,Hobby Japan,198603.jpg,periodical
1986,No. 29 1986/4,,Hobby Japan,198604.jpg,periodical
1986,No. 30 1986/5,,Hobby Japan,198605.jpg,periodical
1986,No. 31 1986/6,,Hobby Japan,198606.jpg,periodical
1986,No. 32 1986/7,,Hobby Japan,198607.jpg,periodical
1986,No. 33 1986/8,,Hobby Japan,198608.jpg,periodical
1986,No. 34 1986/9,,Hobby Japan,198609.jpg,periodical
1986,No. 35 1986/10,,Hobby Japan,198610.jpg,periodical
1986,No. 36 1986/11,,Hobby Japan,198611.jpg,periodical
1986,No. 37 1986/12,,Hobby Japan,198612.jpg,periodical
1987,No. 38 January 1987,,Hobby Japan,198701.jpg,periodical
1987,No. 39 February 1987,,Hobby Japan,198702.jpg,periodical
1987,No. 40 March 1987,,Hobby Japan,198703.jpg,periodical
1987,No. 41 April 1987,,Hobby Japan,198704.jpg,periodical
1987,No. 42 May 1987,,Hobby Japan,198705.jpg,periodical
1987,No. 43 June 1987,,Hobby Japan,198706.jpg,periodical
1987,No. 44 July 1987,,Hobby Japan,198707.jpg,periodical
1987,No. 45 August 1987,,Hobby Japan,198708.jpg,periodical
1987,No. 46 September 1987,,Hobby Japan,198709.jpg,periodical
1987,No. 47 October 1987,,Hobby Japan,198710.jpg,periodical
1987,No. 48 November 1987,,Hobby Japan,198711.jpg,periodical
1987,No. 49 December 1987,,Hobby Japan,198712.jpg,periodical
1988,No. 50 January 1988,,Hobby Japan,198801.jpg,periodical
1988,No. 51 February 1988,,Hobby Japan,198802.jpg,periodical
1988,No. 52 March 1988,,Hobby Japan,198803.jpg,periodical
1988,No. 53 April 1988,,Hobby Japan,198804.jpg,periodical
1988,No. 54 May 1988,,Hobby Japan,198805.jpg,periodical
1988,No. 55 June 1988,,Hobby Japan,198806.jpg,periodical
1988,No. 56 July 1988,,Hobby Japan,198807.jpg,periodical
1988,No. 57 August 1988,,Hobby Japan,198808.jpg,periodical
1988,No. 58 September 1988,,Hobby Japan,198809.jpg,periodical
1988,No. 59 October 1988,,Hobby Japan,198810.jpg,periodical
1988,No. 60 November 1988,,Hobby Japan,198811.jpg,periodical
1988,No. 61 December 1988,,Hobby Japan,198812.jpg,periodical
