year,japanese,english,publisher,image,product_type
1996,天羅万象ハイパーオリエンタルRPGスタートセット,Tenra Basho: Hyper Oriental RPG Start Set,Hobby Japan,start_set.jpg,box set
1996,天羅万象ビジュアルブック,Tenra Basho Visual Book,Hobby Japan,visual_book.jpg,rulebook
1997,天羅万象ソースブック,Tenra Basho Source Book,Hobby Japan,source_book.jpg,supplement
1997,天羅万象 吸血姫,Tenra Basho: Vampire Princess,Hobby Japan,scenario.jpg,box set
2000,天羅万象・零,Tenra Basho Zero,Enterbrain,tenra_basho_zero.jpg,rulebook
2001,天上天下,Heaven and Earth,Game Field,heaven.jpg,supplement
2001,天羅万象・零 スーパーシナリオサポート Vol1,Tenra Basho Super Scenario Support Vol 1,Game Field,sss_1.jpg,scenario
,天羅万象・零 スーパーシナリオサポート Vol2,Tenra Basho Super Scenario Support Vol 2,Game Field,sss_2.jpg,scenario
,天羅万象・零 スーパーシナリオサポート Vol3,Tenra Basho Super Scenario Support Vol 3,Game Field,sss_3.jpg,scenario
,天羅万象・零 スーパーシナリオサポート Vol4,Tenra Basho Super Scenario Support Vol 4,Game Field,sss_4.jpg,scenario
2002,天羅万象・零 スーパーシナリオサポート Vol5,Tenra Basho Super Scenario Support Vol 5,Game Field,sss_5.jpg,scenario
,天羅万象・零 スーパーシナリオサポート Vol6,Tenra Basho Super Scenario Support Vol 6,Game Field,sss_6.jpg,scenario
