year,japanese,english,publisher,image,product_type
1993,トーキョーN◎VA,Tokyo Nova,Tsukuda Hobby,tokyo_nova_1st_ed.jpg,box set
1994,トーキョーNOVAリプレイ―ふりむけば死,Tokyo Nova Replay: Looking Forward,Aspect,tokyo_nova_replay.jpg,replay
1995,トーキョーN◎VA The 2nd Edition,Tokyo Nova: The 2nd Edition,Aspect,tokyo_nova_2nd_ed.jpg,box set
1995,猟犬たちの午後―トーキョーNOVA The 2nd Editionリプレイ,Hounds Afternoon: Tokyo Nova The 2nd Edition Replay,Aspect,tokyo_nova_replay_2nd_ed.jpg,replay
1996,トーキョーN◎VA The 2nd Edition ハンドブック,Tokyo Nova: The 2nd Edition: Handbook,Aspect,tokyo_nova_handbook.jpg,supplement
1996,オーサカM○●N,Osaka Moon,Aspect,osaka_moon.jpg,supplement
1997,カムイSTAR,Kamui Star,ASCII,kamui_star.jpg,supplement
1997,BLAKK box ブラックボックス,Blakk Box,Game Field,blakk_box.jpg,box set
1998,トーキョーN◎VA The Revolution,Tokyo Nova The Revolution,ASCII,revolution.jpg,rulebook
1998,トータルエクリプス,Total Eclipse,Game Field,total_eclipse.jpg,replay
2001,ナイフ・エッジ,Knife Edge,Game Field,knife_edge.jpg,supplement
2002,トーキョーN◎VA The Revolution REVISED,Tokyo Nova The Revolution REVISED,Game Field,revolution_revised.jpg,rulebook
2003,グランド×クロス,Grand X,Game Field,grand_cross.jpg,supplement
,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 1,Tokyo Nova The Revolution: Super Scenario Support Vol. 1,Game Field,sssrev01.jpg,scenario
,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 2,Tokyo Nova The Revolution: Super Scenario Support Vol. 2,Game Field,sssrev02.jpg,scenario
2000,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 3,Tokyo Nova The Revolution: Super Scenario Support Vol. 3,Game Field,sssrev03.jpg,scenario
,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 4,Tokyo Nova The Revolution: Super Scenario Support Vol. 4,Game Field,sssrev04.jpg,scenario
2001,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 5,Tokyo Nova The Revolution: Super Scenario Support Vol. 5,Game Field,sssrev05.jpg,scenario
2001,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 6,Tokyo Nova The Revolution: Super Scenario Support Vol. 6,Game Field,sssrev06.jpg,scenario
2001,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 7,Tokyo Nova The Revolution: Super Scenario Support Vol. 7,Game Field,sssrev07.jpg,scenario
2001,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 8,Tokyo Nova The Revolution: Super Scenario Support Vol. 8,Game Field,sssrev08.jpg,scenario
,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 9,Tokyo Nova The Revolution: Super Scenario Support Vol. 9,Game Field,sssrev09.jpg,scenario
,トーキョーN◎VA The Revolution スーパー・シナリオ・サポート Vol. 10,Tokyo Nova The Revolution: Super Scenario Support Vol. 10,Game Field,sssrev10.jpg,scenario
,トーキョーN◎VA The Revolution REVISED スーパー・シナリオ・サポート Vol. 11,Tokyo Nova The Revolution REVISED: Super Scenario Support Vol. 11,Game Field,sssrev11.jpg,scenario
,トーキョーN◎VA The Revolution REVISED スーパー・シナリオ・サポート Vol. 12,Tokyo Nova The Revolution REVISED: Super Scenario Support Vol. 12,Game Field,sssrev12.jpg,scenario
,トーキョーN◎VA The Revolution REVISED スーパー・シナリオ・サポート Vol. 13,Tokyo Nova The Revolution REVISED: Super Scenario Support Vol. 13,Game Field,sssrev13.jpg,scenario
,トーキョーN◎VA The Revolution REVISED スーパー・シナリオ・サポート Vol. 14,Tokyo Nova The Revolution REVISED: Super Scenario Support Vol. 14,Game Field,sssrev14.jpg,scenario
,トーキョーN◎VA The Revolution REVISED スーパー・シナリオ・サポート Vol. 15,Tokyo Nova The Revolution REVISED: Super Scenario Support Vol. 15,Game Field,sssrev15.jpg,scenario
2003,トーキョーN◎VA The Revolution REVISED スーパー・シナリオ・サポート Vol. 16,Tokyo Nova The Revolution REVISED: Super Scenario Support Vol. 16,Game Field,sssrev16.jpg,scenario
,トーキョーN◎VA The Revolution REVISED スーパー・シナリオ・サポート Vol. 17,Tokyo Nova The Revolution REVISED: Super Scenario Support Vol. 17,Game Field,sssrev17.jpg,scenario
2003,トーキョーNOVA The Detonation,Tokyo Nova The Detonation,Enterbrain,tokyo_nova_detonation.jpg,rulebook
2003,グランド×クロス,Grand Cross,Game Field,grand_x_detonation.jpg,supplement
2004,Stray Light,Stray Light,Game Field,stray_light.jpg,supplement
2006,クロニクル,Chronicle,Enterbrain,chronicle.jpg,supplement
2008,マーダーインク,Murder Inc.,Enterbrain,murder_inc.jpg,supplement
2009,ナイトウォッチ,Night Watch,Enterbrain,night_watch.jpg,supplement
2010,ワールドオーダー,World Order,Enterbrain,world_order.jpg,supplement
2011,アウターエッジ ,Outer Forge,Enterbrain,outer_forge.jpg,supplement
2009,カウンターグロウ,Counterglow,Game Field,counterglow.jpg,supplement
2008,ビューティフルデイ,Beautiful Day,Enterbrain,beautiful_day.jpg,replay
2010,ヴァニティ・エンジェル,Vanity Angel,Enterbrain,vanity_angel.jpg,replay
2011,カウンターグロウ,Counterglow,Enterbrain,counterglow_replay.jpg,replay
2003,トーキョーN◎VA The Detonation スーパー・シナリオ・サポート Vol. 1 フロントライン,Tokyo Nova The Detonation Super Scenario Support Vol. 1: Froneline,Game Field,sssdet1a.jpg,scenario
2004,トーキョーN◎VA The Detonation スーパー・シナリオ・サポート Vol. 2 魂こがして,Tokyo Nova The Detonation Super Scenario Support Vol. 2: Flaming Fish,Game Field,sssdet2a.jpg,scenario
2004,トーキョーN◎VA The Detonation スーパー・シナリオ・サポート Vol. 3 フロントライン,Tokyo Nova The Detonation Super Scenario Support Vol. 3: Calling You,Game Field,sssdet3a.jpg,scenario
2005,トーキョーN◎VA The Detonation スーパー・シナリオ・サポート Vol. 1 この声がとどくまで,Tokyo Nova The Detonation Super Scenario Support Vol. 1: Crystal Wall,Game Field,sssdet1.jpg,scenario
2005,トーキョーN◎VA The Detonation スーパー・シナリオ・サポート Vol. 2 暗黒の世界,Tokyo Nova The Detonation Super Scenario Support Vol. 2: World of Darkness,Game Field,sssdet2.jpg,scenario
2005,トーキョーN◎VA The Detonation スーパー・シナリオ・サポート Vol. 3 仮面舞踏会,Tokyo Nova The Detonation Super Scenario Support Vol. 3: Behind the Mask,Game Field,sssdet3.jpg,scenario
2005,トーキョーN◎VA The Detonation スーパー・シナリオ・サポート Vol. 4 人間以上,Tokyo Nova The Detonation Super Scenario Support Vol. 4: Manplus,Game Field,sssdet4.jpg,scenario
