year,japanese,english,publisher,image,product_type
1997,トレイダーズ!,Traders!,Game Field,traders.jpg,box set
1998,トレイダーズ! スーパーシナリオサポート 1：危険な貨物,Traders! Super Scenario Support 1: Dangerous Cargo,Game Field,,scenario
1998,トレイダーズ! スーパーシナリオサポート 2：伯爵の巡礼,Traders! Super Scenario Support 2: Pilgrimage of the Count,Game Field,,scenario
1998,トレイダーズ! スーパーシナリオサポート 3：王女様と私,Traders! Super Scenario Support 3: The Princess and I,Game Field,sss3.jpg,scenario
1998,トレイダーズ! スーパーシナリオサポート 4：空賊の財宝,Traders! Super Scenario Support 4: Air Pirate Treasure,Game Field,,scenario
1998,トレイダーズ! スーパーシナリオサポート 5：飛空船包囲指令,Traders! Super Scenario Support 5: Airship Siege Order,Game Field,,scenario
1998,トレイダーズ! スーパーシナリオサポート 6：聖なる槍の探索,Traders! Super Scenario Support 6: Search for the Holy Spear,Game Field,sss6.jpg,scenario
1998,トレイダーズ! スーパーシナリオサポート 7：壺中天,Traders! Super Scenario Support 7,Game Field,,scenario
1999,トレイダーズ! スーパーシナリオサポート 8：小さな勇気,Traders! Super Scenario Support 8: Little Courage,Game Field,,scenario
1999,トレイダーズ！スーパーシナリオサポート 9：神封じの混沌,Traders! Super Scenario Support 9: Chaos God of Sealing,Game Field,sss9.jpg,scenario
1999,トレイダーズ! スーパーシナリオサポート 10：魔弾の射手,Traders! Super Scenario Support 10,Game Field,,scenario
1999,トレイダーズ! スーパーシナリオサポート 11：蒼空の騎士,Traders! Super Scenario Support 11: Knight of the Blue Sky,Game Field,sss11.jpg,scenario
1999,トレイダーズ! スーパーシナリオサポート 12：漆黒の仮面,Traders! Super Scenario Support 12: Jet Black Mask,Game Field,,scenario
1999,トレイダーズ! スーパーシナリオサポート 13：辺境の覇者,Traders! Super Scenario Support 13: Frontier Champion,Game Field,,scenario
2000,トレイダーズ! スーパーシナリオサポート 14：聖バレストール祭,Traders! Super Scenario Support 14: St. Valestor Festival,Game Field,,scenario
2000,トレイダーズ! スーパーシナリオサポート 15：遙かなる封土,Traders! Super Scenario Support 15: A Far Reaching Lord,Game Field,,scenario
