year,japanese,english,publisher,image,product_type
1988,幻想世界の住人たち,Residents of the Fantasy World,Shinkigensha,vol1.jpg,supplement
1988,幻の戦士たち,Phantom Warriors,Shinkigensha,vol2.jpg,supplement
1989,魔術師の饗宴,Feast of the Magician,Shinkigensha,vol3.jpg,supplement
1989,幻想世界の住人たちII,Residents of the Fantasy World II,Shinkigensha,vol4.jpg,supplement
1989,幻想都市物語〈中世編〉,Fantasy City Story (Medieval Edition),Shinkigensha,vol5.jpg,supplement
1990,虚空の神々,Gods of the Void,Shinkigensha,vol6.jpg,supplement
1989,幻想世界の住人たちIII,Residents of the Fantasy World III,Shinkigensha,vol7.jpg,supplement
1989,武勲の刃,Blade of Martial Arts,Shinkigensha,vol8.jpg,supplement
1990,幻想世界の住人たちIV,Residents of the Fantasy World IV,Shinkigensha,vol9.jpg,supplement
1991,タオの神々,Tao Gods,Shinkigensha,vol10.jpg,supplement
1991,インド曼陀羅大陸―神々・魔族・半身・精霊,"Indian Mandala Continent: Gods, Asmodians, Half Body, Spirits",Shinkigensha,vol11.jpg,supplement
1992,英雄列伝,History of Heroes,Shinkigensha,vol12.jpg,supplement
1992,武器と防具〈中国編〉,Weapons and Armor (China),Shinkigensha,vol13.jpg,supplement
1993,魔術への旅,Journey to Magic,Shinkigensha,vol14.jpg,supplement
1994,武器と防具〈日本編〉,Weapons and Armor (Japan),Shinkigensha,vol15.jpg,supplement
1995,ギリシア神話 神・英雄録,Greek Mythology: Gods and Heroes,Shinkigensha,vol16.jpg,supplement
1995,天使,Angels,Shinkigensha,vol17.jpg,supplement
1995,堕天使―悪魔たちのプロフィール,Fallen Angels: Profile of the Devil,Shinkigensha,vol18.jpg,supplement
1995,占術―命・卜・相,"Sculpture: Life, Divination, and Appearance",Shinkigensha,vol19.jpg,supplement
1995,武器と防具 (西洋編),Weapons and Armor (Western Edition),Shinkigensha,vol20.jpg,supplement
