year,japanese,english,publisher,image
,ワープス・オリジナルセット,WARPS (Wild Adventure Role Playing System) Original Set,Tsukuda Hobby,warps.jpg
,ヒーローズレルム,Heros' Realms,Tsukuda Hobby,warps_heroes_realm.jpg
,リング　オブ　リリアナ,Ring of Liliana,Tsukuda Hobby,warps_ring_of_liliana.jpg
,ビーストランド,Beast Land,Tsukuda Hobby,warps_beastland.jpg
,ウィザードシティー,Wizard City,Tsukuda Hobby,warps_wizard_city.jpg
,ウォリアーズ&メイジズ,Warriors & Mages,Tsukuda Hobby,warps_warriors_and_mages.jpg
,トーキョーシティー1989,Tokyo City 1989,Tsukuda Hobby,warps_tokyo_city.jpg
,アップルシード,Appleseed,Tsukuda Hobby,warps_appleseed.jpg
,ルパン三世・カリオストロの城,Lupin III: Château de Cagliostro,Tsukuda Hobby,warps_chateau_de_cagliostro.jpg
,機動戦士ガンダム・逆襲のシャア,Mobile Suit Gundam: Char's Counter Attack,Tsukuda Hobby,warps_chars_counter_attack.jpg
