year,japanese,english,publisher,image,product_type
1988,ウィザードリィロールプレイングゲーム,Wizardry Role Playing Game,ASCII,wizardry.jpg,box set
1989,ウィザードリィロールプレイングゲーム　キャンペーンシナリオ　トレボー戦役,Wizardry Role Playing Game Campaign Scenario Trevor Campaign,ASCII,trevor_battle.jpg,box set
1989,ウィザードリィロールプレイングゲーム　サプリメント01　ダロスの盾　,Wizardry Role Playing Game Supplement 01 Shield of Dalos,ASCII,shield_of_dalos.jpg,supplement
1989,ウィザードリィロールプレイングゲーム　サプリメント02　ノームの黄金を求めて,Wizardry Role Playing Game Supplement 02 In Search of Nome's Gold,ASCII,nomes_gold.jpg,supplement
1990,ウィザードリィロールプレイングゲーム　サプリメント03　ガザル＝ボダの紅い疾風,Wizardry Role Playing Game Supplement 03 Gazal = Boda's Red Wind,ASCII,bodas_red_gale.jpg,supplement
1991,真・ウィザードリィRPG　基本システム,Shin Wizardry RPG Basic System,ASCII,shin_wizardry.jpg,rulebook
1991,真ウィザードリィRPGシナリオ集（1）終末の魔剣,Shin Wizardry RPG Scenario Collection 1: The Doomsday Sword,ASCII,shin_wizardry_scenario_collection1.jpg,scenario
1992,真ウィザードリィRPGリプレイ集(1)　地獄の狂宴,Shin Wizardy RPG Replay Collection 1: Hellfeast,ASCII,shin_wizardry_replay_collection1.jpg,replay
1992,真ウィザードリィRPGマスター・スクリーン,Shin Wizardry RPG Master Screen,ASCII,shin_wizardry_master_screen.jpg,supplement
1993,真ウィザードリィRPG改訂版ルールブック,Shin Wizardry RPG Revised Rulebook,ASCII,shin_wizardry_revised.jpg,rulebook
1994,真ウィザードリィRPGリプレイ異境への扉,Shin Wizardry RPG Replay: Door to Another World,Aspect,shin_wizardry_replay_door_to_other_region.jpg,replay
1994,真ウィザードリィRPGリプレイ戦乱の序曲,Shin Wizardry RPG Replay: Battle Overture,Aspect,shin_wizardry_replay_battle_overture.jpg,replay
1994,真ウィザードリィRPGリプレイ奇跡の4人組,Shin Wizardry RPG Replay: The Miraculous Four,Aspect,shin_wizardry_replay_4_person_miracle.jpg,replay
1994,真ウィザードリィRPGサプリメント[上]エセルナート大脱出,Shin Wizardry RPG Supplement Vol 1: Esarnat Great Escape,Aspect,shin_wizardry_supplement_esarnat_great_escape.jpg,scenario
1994,真ウィザードリィRPGサプリメント[下]新世界へ！,Shin Wizardry RPG Supplement Vol 2: To the New World!,Aspect,shin_wizardry_supplement_to_the_new_world.jpg,scenario
1995,アドバンスト・ウィザードリィRPG ルールブック,Advanced Wizardry RPG Rulebook,Aspect,advanced_wizardry.jpg,rulebook
1995,アドバンスト・ウィザードリィRPGモンスターマニュアル,Advanced Wizardry RPG Monster Manual,Aspect,advanced_wizardry_monster_manual2.jpg,supplement
1995,アドバンスト・ウィザードリィRPGモンスターマニュアル2,Advanced Wizardry RPG Monster Manual 2,Aspect,advanced_wizardry_monster_manual.jpg,supplement
1995,アドバンスト・ウィザードリィRPG　パワーアップキット,Advanced Wizardry RPG Power Up Kit,Aspect,advanced_wizardry_power_up_kit.jpg,supplement
1995,アドバンスト・ウィザードリィRPGリプレイ冒険者・失格！,Advanced Wizardry RPG Replay: Adventurer / Disqualified!,Aspect,advanced_wizardry_replay_adventurer_disqualified.jpg,replay
2008,ウィザードリィRPG,Wizardry RPG,Hobby Base,wizardry_reprint.jpg,rulebook
