year,japanese,english,publisher,image,product_type
2010,天下繚乱RPG,World Disturbance RPG,Jive,world_disturbance_rpg.jpg,rulebook
2010,京洛夢幻,Kyoraku Mugen,Jive,kyoraku_mugen.jpg,supplement
2010,江戸絢爛,Edo Gorgeous,Jive,edo_gorgeous.jpg,supplement
2010,妖異暗躍譚1 白梅の鮮華 ,Youkai Dark Leap Tan 1 Fresh Plum Blossoms,Jive,fresh_plum_blossoms.jpg,replay
2010,妖異暗躍譚2 紅梅の残月,Youkai Dark Leap Tan 2 Remaining Moon of Red Plum,Jive,remaining_moon.jpg,replay
2010,妖異暗躍譚3 青梅の幽香,Youkai Dark Leap Tan 3 Ome's Yuka,Jive,omes_yuka.jpg,replay
2011,太閤幻想,Taiko Fantasy,Jive,taiko_fantasy.jpg,supplement
2011,国士無双,Kokushi Musou,Jive,kokushi_musou.jpg,supplement
2011,時空破断,Space-Time Fracture,Jive,space_time_fracture.jpg,supplement
2011,妖異暗躍譚4 黄梅の繚花,Youkai Dark Leap Tan 4 Yellow Plum Blossom,Jive,yellow_plum_blossom.jpg,replay
2011,女子高生江戸日記,High school Girl Edo Diary,Jive,high_school_girl_edo_diary.jpg,replay
2011,続 女子高生江戸日記,High school Girl Edo Diary Sequel,Jive,high_school_girl_edo_diary_sequel.jpg,replay
2011,義経変生譚1,Yoshitsune Metamorphosis Tan 1,Jive,metamorphosis_tan1.jpg,replay
2011,大江戸妖怪絵巻 －雀と少女と名探偵－,"Oedo Yokai Emaki-Sparrow, Girl and Detective-",Jive,sparrow_girl_detective.jpg,replay
2011,決戦！ 本能寺 －新撰組、参る－,"The Decisive Battle! Honnoji-Shinsengumi, Coming-",Jive,decisive_battle.jpg,replay
2012,快刀乱麻,Kaito Ranma,Jive,kaito_ranma.jpg,supplement
2012,義経変生譚2,Yoshitsune Metamorphosis Tan 2,Jive,metamorphosis_tan2.jpg,replay
2012,天下繚乱ギャラクシー －見参、銀河卍丸－,Tenka Ryoran Galaxy-Misabu Murakami-Galaxy Manabu-,Jive,tenka_ryoran_galaxy.jpg,replay
2012,天下繚乱ギャラクシー2 -卍丸vs宇宙海賊クリスタル妖異-,Tenka Ryoran Galaxy 2 -Manabu vs Space Pirate Crystal Youkai-,Jive,tenka_ryoran_galaxy2.jpg,replay
2012,化政学園の冒険!! －プリンセス・トクガワ－,Adventure of Kasei Gakuen !!-Princess Tokugawa-,Jive,princess_tokugawa.jpg,replay
2013,義経変生譚3,Yoshitsune Metamorphosis Tan 3,Jive,metamorphosis_tan3.jpg,replay
